unique_id,reactA,reactAT,reactB,reactBT,reactC,reactCT,reactD,reactDT,pc,reactScheme,coating,supports,supportsCat,batchmass,dp,pV,areaSSA,particlesize,processpressure,flow,pretreat_medium,pretreat_T,A_dosing,A_T,B_dosing,B_T,C_dosing,C_T,D_dosing,D_T,cycles,GPC
1,Zr(OEt)4,200,H2O,RT,O2 (air),,,,,A-(B1-B2),ZrOx,ZSM-5,MO,1,0.5,,15,,0.133,,,200,,200 (230),,RT,,500,,,1,0.3 atomic layer
2,Zr(OEt)4,200,H2O,RT,O2 (air),,,,,A-(B1-B2),ZrOx,ZSM-5,MO,1,0.5,,15,,0.133,,,200,,200 (230),,RT,,500,,,,0.7 atomic layer
3,Zr(OEt)4,200,H2O,RT,O2 (air),,,,,A-(B1-B2),ZrOx,ZSM-5,MO,1,0.5,,15,,0.133,,,200,,200 (230),,RT,,500,,,3,1 atomic layer
4,Zr(OEt)4,200,H2O,RT,O2 (air),,,,,A-(B1-B2),ZrOx,ZSM-5,MO,1,0.5,,15,,0.133,,,200,,200 (230),,RT,,500,,,,2 atomic layer
5,Zr(OEt)4,200,H2O,RT,O2 (air),,,,,A-(B1-B2),ZrOx,ZSM-5,MO,1,0.5,,15,,0.133,,,200,,200 (230),,RT,,500,,,,3 atomic layer
6,Zr(OEt)4,200,H2O,RT,O2 (air),,,,,A-(B1-B2),ZrOx,SiO2,MO,,,,,,0.133,,,200,,200 (230),,RT,,500,,,,0.5 atomic layer
7,Co(acac)3,180,O2 (air),,,,,,N2,A-B,CoOx,SiO2,MO,0.05-0.5,,1.2,320,500-1000,6-10,,air (N2),600 (450),240,180,240,450,,,,,1,
8,Co(acac)3,180,O2 (air),,,,,,N2,A-B,CoOx,SiO2,MO,0.05-0.5,,1.2,320,500-1000,6-10,,air (N2),600 (450),240,180,240,450,,,,,2,
9,Co(acac)3,180,O2 (air),,,,,,N2,A-B,CoOx,SiO2,MO,0.05-0.5,,1.2,320,500-1000,6-10,,air (N2),600 (450),240,180,240,450,,,,,3,
10,Co(acac)3,180,O2 (air),,,,,,N2,A-B,CoOx,SiO2,MO,0.05-0.5,,1.2,320,500-1000,6-10,,air (N2),600 (450),240,180,240,450,,,,,4,
11,Co(acac)3,180,O2 (air),,,,,,N2,A-B,CoOx,SiO2,MO,0.05-0.5,,1.2,320,500-1000,6-10,,air (N2),600 (450),240,180,240,450,,,,,5,
12,Co(acac)3,180,O2 (air),,,,,,N2,A-B*,CoOx*,SiO2,MO,0.05-0.5,,1.2,320,500-1000,6-10,,air (N2),600 (450),240,180,240,450,,,,,1,
13,Co(acac)3,180,O2 (air),,,,,,N2,A-B*,CoOx*,SiO2,MO,0.05-0.5,,1.2,320,500-1000,6-10,,air (N2),600 (450),240,180,240,450,,,,,2,
14,Co(acac)3,180,O2 (air),,,,,,N2,A-B*,CoOx*,SiO2,MO,0.05-0.5,,1.2,320,500-1000,6-10,,air (N2),600 (450),240,180,240,450,,,,,3,
15,Co(acac)3,180,O2 (air),,,,,,N2,A-B*,CoOx*,SiO2,MO,0.05-0.5,,1.2,320,500-1000,6-10,,air (N2),600 (450),240,180,240,450,,,,,4,
16,Co(acac)3,180,O2 (air),,,,,,N2,A-B*,CoOx*,SiO2,MO,0.05-0.5,,1.2,320,500-1000,6-10,,air (N2),600 (450),240,180,240,450,,,,,5,
17,Cu(tmhd)2,140,O2 (air),,,,,,N2,A-B,CuOx,SiO2,MO,2-3,,,300,,,,air,400,480,160,,300,,,,,1,
18,Cu(tmhd)2,140,O2 (air),,,,,,N2,A-B,CuOx,SiO2,MO,2-3,,,300,,,,air,400,480,170,,300,,,,,1,
19,Cu(tmhd)2,140,O2 (air),,,,,,N2,A-B,CuOx,SiO2,MO,2-3,,,300,,,,air,400,480,180,,300,,,,,1,
20,Cu(tmhd)2,140,O2 (air),,,,,,N2,A-B,CuOx,SiO2,MO,2-3,,,300,,,,air,400,480,190,,300,,,,,1,
21,MeCpPtMe3,,H2,,,,,,N2,A-B,Pt,ZnOx/SiO2,MO,,,,,,0.1,,N2,200,0.25,90,60,550,,,,,1,
22,MeCpPtMe3,,H2,,,,,,N2,A-B,Pt,ZnOx/SiO2,MO,,,,,,0.1,,N2,200,0.125,90,60,550,,,,,1,
23,MeCpPtMe3,,H2,,,,,,N2,A-B,Pt,ZnOx/SiO2,MO,,,,,,0.1,,N2,200,0.125,90,60,550,,,,,1,
24,MeCpPtMe3,,H2,,,,,,N2,A-B,Pt,SiO2,MO,0.16-0.32,,1.1,300,297-400,0.1,,N2,200,0.125,90,60,550,,,,,1,
25,DEZ,RT,H2O,RT,,,,,N2,A-B,ZnOx,SiO2,MO,0.32,,1.1,300,297-400,0.1,,N2,200,0.025,175,0.025,175,,,,,1,
26,DEZ,RT,H2O,RT,,,,,N2,A-B,ZnOx,SiO2,MO,1,,1.1,300,297-400,0.1,,N2,200,0.025,100,0.025,100,,,,,1,
27,DEZ,RT,H2O,RT,MeCpPtMe3,,H2,,N2,(A-B)-(C-D),PtZnOx,Al2O3,MO,0.32,,,,,0.1,,N2,200,0.01,100,0.025,100,0.25,100,60,550,1,
28,TTIP,,H2O,RT,O2 (air),,,,,A-(B1-B2),TiOx,SiO2,MO,,,,300,,,,air,200,120,80 (200),,RT,240,500,,,1,
29,TTIP,,H2O,RT,O2 (air),,,,,A-(B1-B2),TiOx,SiO2,MO,,,,300,,,,air,200,120,80 (200),,RT,240,500,,,2,1 atomic layer
30,Cu(tmhd)2,,O2 (air),,,,,,,A-B,CuO,SiO2,MO,,,,300,,,,,,,170,,450,,,,,2,
31,Pd(tmhd)2,,O2 (air),,,,,,,A-B,Pd,CuOx/SiO2,MO,,,,,,,,,,,,,,,,,,,
32,Cu(tmhd)2,,O2 (air),,,,,,,A-B,CuO,Al2O3,MO,,,,200,,,,,,,170,,450,,,,,2,
33,Pd(tmhd)2,,O2 (air),,,,,,,A-B,Pd,CuOx/Al2O3,MO,,,,,,,,,,,,,,,,,,,
34,DEZ,RT,H2O,RT,,,,,N2,A-B,ZnOx,SiO2,MO,10-20,,,5.6,0.55,0.1-0.3,15-25,,,0.4-1,177,0.5,177,,,,,30,2.0 Å
35,DEZ,RT,H2O,RT,,,,,N2,A-B,ZnOx,SiO2,MO,10-20,,,5.6,0.55,0.1-0.3,15-25,,,0.4-1,177,0.5,177,,,,,90,2.0 Å
