review,ref_index,doi,resolution_method,match_score,article_title,journal,year,unstructured
cremers2019,0,10.1116/1.4971389,crossref_deposited,,Review Article: Recommended reading list of early publications on atomic layer deposition-Outcome of the ‘Virtual Project on the History of ALD’,J. Vac. Sci. Technol. A,2017,
cremers2019,1,10.1002/cvde.201502013,crossref_deposited,,From V.B. Aleskovskii's ‘Framework’ hypothesis to the method of molecular layering/atomic layer deposition,Chem. Vap. Depos.,2015,
cremers2019,2,10.1002/cvde.201402012,crossref_deposited,,A short history of atomic layer deposition: Tuomo Suntola's atomic layer epitaxy,Chem. Vap. Depos.,2014,
cremers2019,3,10.1021/cr900056b,crossref_deposited,,Atomic layer deposition: An overview,Chem. Rev.,2010,
cremers2019,4,10.1063/1.1940727,crossref_deposited,,Surface chemistry of atomic layer deposition: A case study for the trimethylaluminum/water process,J. Appl. Phys.,2005,
cremers2019,5,10.1063/1.4757907,crossref_deposited,,Crystallinity of inorganic films grown by atomic layer deposition: Overview and general trends,J. Appl. Phys.,2013,
cremers2019,6,10.1016/j.mattod.2014.04.026,crossref_deposited,,A brief review of atomic layer deposition: From fundamentals to applications,Mater. Today,2014,
cremers2019,7,10.1039/c6cc05568k,crossref_deposited,,Atomic and molecular layer deposition: Off the beaten track,Chem. Commun.,2017,
cremers2019,8,,unresolved,,,,2008,
cremers2019,9,10.1116/1.1600450,crossref_deposited,,Thin film deposition with physical vapor deposition and related technologies,J. Vac. Sci. Technol. A,2003,
cremers2019,10,10.1016/j.tsf.2008.09.007,crossref_deposited,,Applications of atomic layer deposition to nanofabrication and emerging nanodevices,Thin Solid Films,2009,
cremers2019,11,10.1002/adma.200700079,crossref_deposited,,Synthesis and surface engineering of complex nanostructures by atomic layer deposition,Adv. Mater.,2007,
cremers2019,12,10.1016/j.ccr.2013.08.007,crossref_deposited,,Carbon-nanostructures coated/decorated by atomic layer deposition: Growth and applications,Coordin. Chem. Rev.,2013,
cremers2019,13,10.1039/c1cs15091j,crossref_deposited,,Tailoring nanoporous materials by atomic layer deposition,Chem. Soc. Rev.,2011,
cremers2019,14,10.1016/s0040-6090(02)00117-7,crossref_deposited,,Atomic layer deposition (ALD): From precursors to thin film structures,Thin Solid Films,2002,
cremers2019,15,,unresolved,,,,2017,
cremers2019,16,10.1021/ja807802r,crossref_deposited,,Growth inhibition to enhanced conformal coverage in thin film chemical vapor deposition,J. Am. Chem. Soc.,2008,
cremers2019,17,10.1143/jjap.47.2801,crossref_deposited,,Tungsten through-silicon via technology for three-dimensional LSIs,"Jpn. J. Appl. Phys., Part 1",2008,
cremers2019,18,10.1149/1.1587071,crossref_deposited,,Highly conformal Cu thin-film growth by low-temperature pulsed MOCVD,Electrochem. Solid State,2003,
cremers2019,19,10.1149/1.1430230,crossref_deposited,,Bottom-up filling of submicrometer features in catalyst-enhanced chemical vapor deposition of copper,J. Electrochem. Soc.,2002,
cremers2019,20,10.1149/1.1566960,crossref_deposited,,Interconnect fabrication by superconformal iodine-catalyzed chemical vapor deposition of copper,J. Electrochem. Soc.,2003,
cremers2019,21,10.1016/s0040-6090(01)01678-9,crossref_deposited,,Thin film atomic layer deposition equipment for semiconductor processing,Thin Solid Films,2002,
