0,1
GPC,Growth per cycle (m)
gpc sat H,Saturation growth in cycle (nm) Channel height (nm)
h,Hydraulic diameter ( m m)
K,Adsorption equilibrium constant (1 Pa /C0 1 )
K n,Knudsen number ( /C0 )
L,Lateral length of the channel ( m m)
l,Distance between rows of pillars ( m m)
,/C0 1
M B,Molar mass of carrier gas B (kg mol )
N,Number of cycles
p A0,Input partial pressure of Reactant A (Pa)
p B,Partial pressure of carrier gas B (Pa)
PD 50%,Penetration depth at 50% of film thickness ( m m)
P d,Desorption probability in unit time (1 s /C0 1 )
Q,Collision rate at unit pressure (m /C0 2 s /C0 1 Pa /C0 1 ) Adsorption density of reactant A at saturation (1m
q R,/C0 2 Diffusion resistance of a rectangular channel (s m /C0 3 )
R row,Diffusion resistance of one row of pillars (s m /C0 3 )
S I,Film thickness outside the channel (m)
S II,Film thickness inside the channel (m)
t P,Pulse length (s)
W,Opening width of the channel (m)
x,Distance from channel opening (m)
x 50%,50% thickness penetration depth ( m m)
x ˜,dimensionless distance ( /C0 )
l TMA,Mean free path of TMA ( m m)
r,Film density (kg m /C0 3 )
y,Surface coverage (0 r y r 1)
x,Normalized distance ( /C0 )
