review,ref_index,doi,resolution_method,match_score,article_title,journal,year,unstructured
popov2025,0,,unresolved,31.1,Atomic layer deposition,,2001,
popov2025,1,10.1002/anie.200301652,crossref_deposited,,,Angew. Chem. Int. Ed.,2003,
popov2025,2,10.1149/1.3207651,crossref_deposited,,,ECS Trans.,2009,
popov2025,3,10.1021/cs501862h,crossref_deposited,,,ACS Catal.,2015,
popov2025,4,10.1063/1.5060967,crossref_deposited,,,Appl. Phys. Rev.,2019,
popov2025,5,,unresolved,,,,1977,
popov2025,6,,unresolved,,,,1977,
popov2025,7,10.1002/cvde.201402012,crossref_deposited,,,Chem. Vap. Deposition,2014,
popov2025,8,,unresolved,,,,2014,
popov2025,9,10.1063/1.4757907,crossref_deposited,,,J. Appl. Phys.,2013,
popov2025,10,,unresolved,,,,,
popov2025,11,10.1116/1.3609974,crossref_deposited,,,J. Vac. Sci. Technol. A,2011,
popov2025,12,10.1116/1.5088582,crossref_deposited,,,J. Vac. Sci. Technol. A,2019,
popov2025,13,10.1088/0957-4484/21/40/405602,crossref_deposited,,,Nanotechnology,2010,
popov2025,14,10.1021/jp504067c,crossref_deposited,,,J. Phys. Chem. C,2014,
popov2025,15,10.1021/acs.chemmater.6b04029,crossref_deposited,,,Chem. Mater.,2017,
popov2025,16,10.1016/j.apsusc.2016.11.192,crossref_deposited,,,Appl. Surf. Sci.,2017,
popov2025,17,10.3390/coatings8070237,crossref_deposited,,,Coatings,2018,
popov2025,18,10.1021/acs.chemmater.8b00445,crossref_deposited,,,Chem. Mater.,2018,
popov2025,19,10.1134/s0020168510010097,crossref_deposited,,,Inorg. Mater.,2010,
popov2025,20,10.1016/j.tsf.2014.06.038,crossref_deposited,,,Thin Solid Films,2014,
popov2025,21,10.1116/1.4972469,crossref_deposited,,,J. Vac. Sci. Technol. A,2017,
popov2025,22,10.1002/chem.201702939,crossref_deposited,,,Chem. Eur. J.,2017,
popov2025,23,10.1002/aelm.201600491,crossref_deposited,,,Adv. Electron. Mater.,2017,
popov2025,24,10.3390/ma12091429,crossref_deposited,,,Materials,2019,
popov2025,25,10.1116/1.5093402,crossref_deposited,,,J. Vac. Sci. Technol. A,2019,
popov2025,26,10.1021/acs.jpcc.1c03518,crossref_deposited,,,J. Phys. Chem. C,2021,
popov2025,27,10.1002/admi.202202166,crossref_deposited,,,Adv. Mater. Interfaces,2023,
popov2025,28,10.1063/5.0143013,crossref_deposited,,,J. Appl. Phys.,2023,
popov2025,29,10.1116/1.4903951,crossref_deposited,,,J. Vac. Sci. Technol. A,2015,
popov2025,30,10.1021/acs.chemmater.7b02175,crossref_deposited,,,Chem. Mater.,2017,
