psed_experiment_id,source_result_ids,figure_panel,material,conditions,geometry,experiment_class,physical_case_id,mapped_pdf_case,mapped_measurement,verdict,explanation,confidence
10.1038_am.2016.182__Fig1a__exp01__case00,10.1038_am.2016.182__Fig1a__exp01,Fig1a,Pt,temperature=80°C;molecular_mass=32.0g/mol;precursor_molecular_diameter=0.346nm,planar,ExperimentalCase,10.1038_am.2016.182__Fig1a__exp01,CASE_A,M1,CORRECT,saturation sweep; each dose point is a distinguishable condition case,HIGH
10.1038_am.2016.182__Fig1a__exp01__case01,10.1038_am.2016.182__Fig1a__exp01,Fig1a,Pt,temperature=80°C;molecular_mass=32.0g/mol;precursor_molecular_diameter=0.346nm,planar,ExperimentalCase,10.1038_am.2016.182__Fig1a__exp01,CASE_A,M1,CORRECT,saturation sweep; each dose point is a distinguishable condition case,HIGH
10.1038_am.2016.182__Fig1a__exp01__case02,10.1038_am.2016.182__Fig1a__exp01,Fig1a,Pt,temperature=80°C;molecular_mass=32.0g/mol;precursor_molecular_diameter=0.346nm,planar,ExperimentalCase,10.1038_am.2016.182__Fig1a__exp01,CASE_A,M1,CORRECT,saturation sweep; each dose point is a distinguishable condition case,HIGH
10.1038_am.2016.182__Fig1a__exp01__case03,10.1038_am.2016.182__Fig1a__exp01,Fig1a,Pt,temperature=80°C;molecular_mass=32.0g/mol;precursor_molecular_diameter=0.346nm,planar,ExperimentalCase,10.1038_am.2016.182__Fig1a__exp01,CASE_A,M1,CORRECT,saturation sweep; each dose point is a distinguishable condition case,HIGH
10.1038_am.2016.182__Fig1a__exp01__case04,10.1038_am.2016.182__Fig1a__exp01,Fig1a,Pt,temperature=80°C;molecular_mass=32.0g/mol;precursor_molecular_diameter=0.346nm,planar,ExperimentalCase,10.1038_am.2016.182__Fig1a__exp01,CASE_A,M1,CORRECT,saturation sweep; each dose point is a distinguishable condition case,HIGH
10.1038_am.2016.182__Fig1a__exp02__case00,10.1038_am.2016.182__Fig1a__exp02,Fig1a,Pt,temperature=80°C;molecular_mass=32.0g/mol;precursor_molecular_diameter=0.346nm,planar,ExperimentalCase,10.1038_am.2016.182__Fig1a__exp02,CASE_A,M1,CORRECT,saturation sweep; each dose point is a distinguishable condition case,HIGH
10.1038_am.2016.182__Fig1a__exp02__case01,10.1038_am.2016.182__Fig1a__exp02,Fig1a,Pt,temperature=80°C;molecular_mass=32.0g/mol;precursor_molecular_diameter=0.346nm,planar,ExperimentalCase,10.1038_am.2016.182__Fig1a__exp02,CASE_A,M1,CORRECT,saturation sweep; each dose point is a distinguishable condition case,HIGH
10.1038_am.2016.182__Fig1a__exp02__case02,10.1038_am.2016.182__Fig1a__exp02,Fig1a,Pt,temperature=80°C;molecular_mass=32.0g/mol;precursor_molecular_diameter=0.346nm,planar,ExperimentalCase,10.1038_am.2016.182__Fig1a__exp02,CASE_A,M1,CORRECT,saturation sweep; each dose point is a distinguishable condition case,HIGH
10.1038_am.2016.182__Fig1a__exp02__case03,10.1038_am.2016.182__Fig1a__exp02,Fig1a,Pt,temperature=80°C;molecular_mass=32.0g/mol;precursor_molecular_diameter=0.346nm,planar,ExperimentalCase,10.1038_am.2016.182__Fig1a__exp02,CASE_A,M1,CORRECT,saturation sweep; each dose point is a distinguishable condition case,HIGH
10.1038_am.2016.182__Fig1a__exp02__case04,10.1038_am.2016.182__Fig1a__exp02,Fig1a,Pt,temperature=80°C;molecular_mass=32.0g/mol;precursor_molecular_diameter=0.346nm,planar,ExperimentalCase,10.1038_am.2016.182__Fig1a__exp02,CASE_A,M1,CORRECT,saturation sweep; each dose point is a distinguishable condition case,HIGH
