measurement_id,figure,panel,measurement_type,x_quantity,y_quantity,result_type,pdf_case_id,specimen_identity_level,PDF_page,evidence,confidence
M1,1,a,precursor vapour pressure,temperature,vapor_pressure,precursor property,CASE_X,NOT_ESTABLISHED,2,Fig 1,HIGH
M2,2,a,thickness vs cycles,cycle_number,film_thickness,process data,CASE_A,SAME_DEPOSITION_CONDITION_CASE,3,Fig 2(a) at several Tdep,HIGH
M3,2,b,TEM-vs-SE thickness check,cycle_number,film_thickness,cross-validation,CASE_A,SAME_DEPOSITION_RUN_OR_BATCH,3,Fig 2(b) TEM compared with in situ SE on the same sample,HIGH
M4,3,n/a,TEM of stack,n/a,n/a,characterization (image),CASE_E,SAME_DEPOSITION_RUN_OR_BATCH,3,Fig 3 alternating ALD Al2O3/ALD SiO2 stack,HIGH
M5,4,a-h,saturation curves,dose/purge/pulse,"growth_per_cycle, refractive index",process data,CASE_B,SAME_DEPOSITION_CONDITION_CASE,4,Fig 4(a)-(h),HIGH
M6,5,a-b,ALD window,deposition_temperature,growth_per_cycle,process data,CASE_A,SAME_DEPOSITION_CONDITION_CASE,5,Fig 5,HIGH
M7,6,a-b,FTIR absorbance,wavenumber,normalized absorbance,film composition,CASE_A,SAME_DEPOSITION_CONDITION_CASE,6,Fig 6,HIGH
M8,7,n/a,TEM of SiO2 on Si,n/a,n/a,characterization (image),CASE_E,SAME_DEPOSITION_RUN_OR_BATCH,7,Fig 7 SiO2 covered by capping,HIGH
M9,8,n/a,trench conformality SEM,n/a,n/a,conformality (image),CASE_C,SAME_DEPOSITION_RUN_OR_BATCH,7,"Fig 8 HAR trench, 830 cycles",HIGH
M10,10,a,plasma OES,wavelength,OES signal,process diagnostic,CASE_A,NOT_ESTABLISHED,8,Fig 10,MEDIUM
M11,11,b,effective lifetime,injection level,effective lifetime,device/interface property,CASE_E,SAME_DEPOSITION_RUN_OR_BATCH,9,Fig 11 single SiO2 vs SiO2/Al2O3 stack,HIGH
M12,12,a-b,C-V,voltage,capacitance,device/interface property,CASE_E,SAME_DEPOSITION_RUN_OR_BATCH,10,Fig 12 single SiO2 and SiO2/Al2O3 stacks,HIGH
