psed_experiment_id,source_result_ids,figure_panel,material,conditions,geometry,experiment_class,physical_case_id,mapped_pdf_case,mapped_measurement,verdict,explanation,confidence
10.1149_2.067203jes__Fig1a__exp01,10.1149_2.067203jes__Fig1a__exp01,Fig1a,,pulse_time=-120.0ms,planar,ExperimentalCase,10.1149_2.067203jes__Fig1a__exp01,CASE_X,M1,NOT_A_DEPOSITION_EXPERIMENT,"precursor vapour pressure, not a deposition",HIGH
10.1149_2.067203jes__Fig1a__exp02,10.1149_2.067203jes__Fig1a__exp02,Fig1a,,pulse_time=-120.0ms,planar,ExperimentalCase,10.1149_2.067203jes__Fig1a__exp02,CASE_X,M1,NOT_A_DEPOSITION_EXPERIMENT,"precursor vapour pressure, not a deposition",HIGH
10.1149_2.067203jes__Fig2a__exp01,10.1149_2.067203jes__Fig2a__exp01,Fig2a,SiO2,deposition_temperature=50.0°C,planar,ExperimentalCase,10.1149_2.067203jes__Fig2a__exp01,CASE_A,M2,CORRECT,thickness vs cycles at distinct Tdep,HIGH
10.1149_2.067203jes__Fig2a__exp02,10.1149_2.067203jes__Fig2a__exp02,Fig2a,SiO2,deposition_temperature=200.0°C,planar,ExperimentalCase,10.1149_2.067203jes__Fig2a__exp02,CASE_A,M2,CORRECT,thickness vs cycles at distinct Tdep,HIGH
10.1149_2.067203jes__Fig2a__exp03,10.1149_2.067203jes__Fig2a__exp03,Fig2a,SiO2,deposition_temperature=250.0°C,planar,ExperimentalCase,10.1149_2.067203jes__Fig2a__exp03,CASE_A,M2,CORRECT,thickness vs cycles at distinct Tdep,HIGH
10.1149_2.067203jes__Fig2b__exp01,10.1149_2.067203jes__Fig2b__exp01,Fig2b,SiO2,temperature=200.0°C,planar,ExperimentalCase,10.1149_2.067203jes__Fig2b__exp01,CASE_A,M3,OVER_SPLIT,TEM cross-check of the same sample measured by in situ SE in Fig2a,HIGH
10.1149_2.067203jes__Fig2b__exp02,10.1149_2.067203jes__Fig2b__exp02,Fig2b,SiO2,temperature=200.0°C,planar,ExperimentalCase,10.1149_2.067203jes__Fig2b__exp02,CASE_A,M3,OVER_SPLIT,TEM cross-check of the same sample measured by in situ SE in Fig2a,HIGH
10.1149_2.067203jes__Fig4a,10.1149_2.067203jes__Fig4a,Fig4a,,temperature=250.0°C;cycle_number=-40.0cycle;growth_per_cycle=1.1Å/cycle,planar,ExperimentalCase,10.1149_2.067203jes__Fig4a,CASE_B,M5,OVER_SPLIT,one saturation study split per panel,HIGH
10.1149_2.067203jes__Fig4b,10.1149_2.067203jes__Fig4b,Fig4b,,temperature=250.0°C;cycle_number=-40.0cycle;growth_per_cycle=1.1Å/cycle,planar,ExperimentalCase,10.1149_2.067203jes__Fig4b,CASE_B,M5,OVER_SPLIT,same,HIGH
10.1149_2.067203jes__Fig4c,10.1149_2.067203jes__Fig4c,Fig4c,,temperature=250.0°C;cycle_number=-40.0cycle;growth_per_cycle=1.1Å/cycle,planar,ExperimentalCase,10.1149_2.067203jes__Fig4c,CASE_B,M5,OVER_SPLIT,same,HIGH
10.1149_2.067203jes__Fig4d,10.1149_2.067203jes__Fig4d,Fig4d,SiO2,temperature=250.0°C;cycle_number=-40.0cycle;growth_per_cycle=1.1Å/cycle,planar,ExperimentalCase,10.1149_2.067203jes__Fig4d,CASE_B,M5,OVER_SPLIT,same,HIGH
10.1149_2.067203jes__Fig4e,10.1149_2.067203jes__Fig4e,Fig4e,,temperature=250.0°C;cycle_number=-40.0cycle;growth_per_cycle=1.1Å/cycle,planar,ExperimentalCase,10.1149_2.067203jes__Fig4e,CASE_B,M5,OVER_SPLIT,same,HIGH
10.1149_2.067203jes__Fig4f,10.1149_2.067203jes__Fig4f,Fig4f,,temperature=250.0°C;cycle_number=-40.0cycle;growth_per_cycle=1.1Å/cycle,planar,ExperimentalCase,10.1149_2.067203jes__Fig4f,CASE_B,M5,OVER_SPLIT,same,HIGH
10.1149_2.067203jes__Fig4g,10.1149_2.067203jes__Fig4g,Fig4g,,temperature=250.0°C;cycle_number=-40.0cycle;growth_per_cycle=1.1Å/cycle,planar,ExperimentalCase,10.1149_2.067203jes__Fig4g,CASE_B,M5,OVER_SPLIT,same,HIGH
10.1149_2.067203jes__Fig4h,10.1149_2.067203jes__Fig4h,Fig4h,,temperature=250.0°C;cycle_number=-40.0cycle;growth_per_cycle=1.1Å/cycle,planar,ExperimentalCase,10.1149_2.067203jes__Fig4h,CASE_B,M5,OVER_SPLIT,same,HIGH
