paper,object_a,object_b,reason_class,evidence,resolvable,final_status
10.1038_am.2016.182,CAND-10.103-016,CAND-10.103-028,CONDITION_ONLY_NO_POSITIVE_LINK,"case-defining conditions agree, but the source states no positive linkage (same sample / same run / shared sample code) between these results; missing is not the same as same",no - by design,UNRESOLVED
10.1038_am.2016.182,CAND-10.103-017,CAND-10.103-029,CONDITION_ONLY_NO_POSITIVE_LINK,"case-defining conditions agree, but the source states no positive linkage (same sample / same run / shared sample code) between these results; missing is not the same as same",no - by design,UNRESOLVED
10.1038_am.2016.182,CAND-10.103-030,CAND-10.103-041,CONDITION_ONLY_NO_POSITIVE_LINK,"case-defining conditions agree, but the source states no positive linkage (same sample / same run / shared sample code) between these results; missing is not the same as same",no - by design,UNRESOLVED
10.1038_am.2016.182,CAND-10.103-032,CAND-10.103-043,CONDITION_ONLY_NO_POSITIVE_LINK,"case-defining conditions agree, but the source states no positive linkage (same sample / same run / shared sample code) between these results; missing is not the same as same",no - by design,UNRESOLVED
10.1038_am.2016.182,CAND-10.103-033,CAND-10.103-044,CONDITION_ONLY_NO_POSITIVE_LINK,"case-defining conditions agree, but the source states no positive linkage (same sample / same run / shared sample code) between these results; missing is not the same as same",no - by design,UNRESOLVED
10.1038_am.2016.182,CAND-10.103-034,CAND-10.103-045,CONDITION_ONLY_NO_POSITIVE_LINK,"case-defining conditions agree, but the source states no positive linkage (same sample / same run / shared sample code) between these results; missing is not the same as same",no - by design,UNRESOLVED
10.1038_am.2016.182,CAND-10.103-035,CAND-10.103-046,CONDITION_ONLY_NO_POSITIVE_LINK,"case-defining conditions agree, but the source states no positive linkage (same sample / same run / shared sample code) between these results; missing is not the same as same",no - by design,UNRESOLVED
10.1038_am.2016.182,CAND-10.103-038,CAND-10.103-048,CONDITION_ONLY_NO_POSITIVE_LINK,"case-defining conditions agree, but the source states no positive linkage (same sample / same run / shared sample code) between these results; missing is not the same as same",no - by design,UNRESOLVED
10.1038_am.2016.182,CAND-10.103-039,CAND-10.103-049,CONDITION_ONLY_NO_POSITIVE_LINK,"case-defining conditions agree, but the source states no positive linkage (same sample / same run / shared sample code) between these results; missing is not the same as same",no - by design,UNRESOLVED
10.1038_am.2016.182,CAND-10.103-040,CAND-10.103-050,CONDITION_ONLY_NO_POSITIVE_LINK,"case-defining conditions agree, but the source states no positive linkage (same sample / same run / shared sample code) between these results; missing is not the same as same",no - by design,UNRESOLVED
10.1038_am.2016.182,M::SUP::10.1038_am.2016.182::F4b,,PROVENANCE_CHAIN_INCOMPLETE,no statement in the section reporting this figure identifies which synthesis produced the measured specimen,no - the source names no protocol,UNRESOLVED
10.1038_am.2016.182,M::SUP::10.1038_am.2016.182::F4c,,PROVENANCE_CHAIN_INCOMPLETE,no statement in the section reporting this figure identifies which synthesis produced the measured specimen,no - the source names no protocol,UNRESOLVED
10.1038_am.2016.182,M::SUP::10.1038_am.2016.182::F4d,,PROVENANCE_CHAIN_INCOMPLETE,no statement in the section reporting this figure identifies which synthesis produced the measured specimen,no - the source names no protocol,UNRESOLVED
10.1038_am.2016.182,M::SUP::10.1038_am.2016.182::F4e,,SOURCE_TRULY_UNSPECIFIED,no deposition case is established for this result: the extraction stage holds no data for this panel,no - the source does not say,UNRESOLVED
10.1038_am.2016.182,M::SUP::10.1038_am.2016.182::F4g,,PROVENANCE_CHAIN_INCOMPLETE,no statement in the section reporting this figure identifies which synthesis produced the measured specimen,no - the source names no protocol,UNRESOLVED
10.1149_2.067203jes,M::10.1149_2.067203jes__Fig1a__exp01,,MEASUREMENT_ONLY_FIGURE,no deposition case is established for this result: the source does not state which deposition produced the specimen it was measured on,no - reports no deposition,UNRESOLVED
10.1149_2.067203jes,M::10.1149_2.067203jes__Fig1a__exp02,,MEASUREMENT_ONLY_FIGURE,no deposition case is established for this result: the source does not state which deposition produced the specimen it was measured on,no - reports no deposition,UNRESOLVED
10.1149_2.067203jes,M::10.1149_2.067203jes__Fig4a,,PROVENANCE_CHAIN_INCOMPLETE,no statement in the section reporting this figure identifies which synthesis produced the measured specimen,no - the source names no protocol,UNRESOLVED
10.1149_2.067203jes,M::10.1149_2.067203jes__Fig4b,,PROVENANCE_CHAIN_INCOMPLETE,no statement in the section reporting this figure identifies which synthesis produced the measured specimen,no - the source names no protocol,UNRESOLVED
10.1149_2.067203jes,M::10.1149_2.067203jes__Fig4c,,PROVENANCE_CHAIN_INCOMPLETE,no statement in the section reporting this figure identifies which synthesis produced the measured specimen,no - the source names no protocol,UNRESOLVED
10.1149_2.067203jes,M::10.1149_2.067203jes__Fig4e,,PROVENANCE_CHAIN_INCOMPLETE,no statement in the section reporting this figure identifies which synthesis produced the measured specimen,no - the source names no protocol,UNRESOLVED
10.1149_2.067203jes,M::10.1149_2.067203jes__Fig4f,,PROVENANCE_CHAIN_INCOMPLETE,no statement in the section reporting this figure identifies which synthesis produced the measured specimen,no - the source names no protocol,UNRESOLVED
10.1149_2.067203jes,M::10.1149_2.067203jes__Fig4g,,PROVENANCE_CHAIN_INCOMPLETE,no statement in the section reporting this figure identifies which synthesis produced the measured specimen,no - the source names no protocol,UNRESOLVED
10.1149_2.067203jes,M::10.1149_2.067203jes__Fig4h,,PROVENANCE_CHAIN_INCOMPLETE,no statement in the section reporting this figure identifies which synthesis produced the measured specimen,no - the source names no protocol,UNRESOLVED
10.1149_2.067203jes,M::10.1149_2.067203jes__Fig9a__exp01,,SOURCE_TRULY_UNSPECIFIED,no deposition case is established for this result: the source does not state which deposition produced the specimen it was measured on,no - the source does not say,UNRESOLVED
10.1149_2.067203jes,M::10.1149_2.067203jes__Fig9a__exp02,,SOURCE_TRULY_UNSPECIFIED,no deposition case is established for this result: the source does not state which deposition produced the specimen it was measured on,no - the source does not say,UNRESOLVED
10.1149_2.067203jes,M::10.1149_2.067203jes__Fig9b__exp01,,SOURCE_TRULY_UNSPECIFIED,no deposition case is established for this result: the source does not state which deposition produced the specimen it was measured on,no - the source does not say,UNRESOLVED
10.1149_2.067203jes,M::10.1149_2.067203jes__Fig9b__exp02,,SOURCE_TRULY_UNSPECIFIED,no deposition case is established for this result: the source does not state which deposition produced the specimen it was measured on,no - the source does not say,UNRESOLVED
10.1149_2.067203jes,M::10.1149_2.067203jes__Fig10b,,SOURCE_TRULY_UNSPECIFIED,no deposition case is established for this result: the source does not state which deposition produced the specimen it was measured on,no - the source does not say,UNRESOLVED
10.1039_c7ta03257a,M::10.1039_c7ta03257a__Fig7a__exp01,,REFERENCE_BY_DESIGN,"the legend 'uncoated' names a comparison control, so this result is not attributed to a deposition case","no - a control, never attributed",UNRESOLVED
10.1039_c7ta03257a,M::10.1039_c7ta03257a__Fig7a__exp02,,PROVENANCE_CHAIN_INCOMPLETE,no statement in the section reporting this figure identifies which synthesis produced the measured specimen,no - the source names no protocol,UNRESOLVED
10.1039_c7ta03257a,M::10.1039_c7ta03257a__Fig8a__exp01,,REFERENCE_BY_DESIGN,"the legend 'uncoated' names a comparison control, so this result is not attributed to a deposition case","no - a control, never attributed",UNRESOLVED
