paper,source_a,source_b,link_class,verdict,strength,positive_evidence,material_compatible,process_step_compatible,varied_quantity_compatible,condition_contradiction,contradiction_detail,decision_status,decision_note,a_case_id,b_case_id,superseded_conditions,reason
10.1038_am.2016.182,CAND-10.103-015,CAND-10.103-026,DESIGN_IDENTITY,MERGED,SUPPORTED,EV-10.103-071,ok,ok,ok,none,-,APPLIED,-,CASE-10.103-015,CASE-10.103-015,-,"panels a/b of figure 2 plot different outputs at the same design branch (q=deposition_temperature, step=n/a, unit=°C, material=Pt) = 80"
10.1038_am.2016.182,CAND-10.103-016,CAND-10.103-027,DESIGN_IDENTITY,MERGED,SUPPORTED,EV-10.103-058,ok,ok,ok,none,-,APPLIED,-,CASE-10.103-016,CASE-10.103-016,-,"panels a/b of figure 2 plot different outputs at the same design branch (q=deposition_temperature, step=n/a, unit=°C, material=Pt) = 100"
10.1038_am.2016.182,CAND-10.103-017,CAND-10.103-028,DESIGN_IDENTITY,MERGED,SUPPORTED,EV-10.103-059,ok,ok,ok,none,-,APPLIED,-,CASE-10.103-017,CASE-10.103-017,-,"panels a/b of figure 2 plot different outputs at the same design branch (q=deposition_temperature, step=n/a, unit=°C, material=Pt) = 120"
10.1038_am.2016.182,CAND-10.103-018,CAND-10.103-029,DESIGN_IDENTITY,MERGED,SUPPORTED,EV-10.103-060,ok,ok,ok,none,-,APPLIED,-,CASE-10.103-018,CASE-10.103-018,-,"panels a/b of figure 2 plot different outputs at the same design branch (q=deposition_temperature, step=n/a, unit=°C, material=Pt) = 150"
10.1038_am.2016.182,CAND-10.103-019,CAND-10.103-030,DESIGN_IDENTITY,MERGED,SUPPORTED,EV-10.103-061,ok,ok,ok,none,-,APPLIED,-,CASE-10.103-019,CASE-10.103-019,-,"panels a/b of figure 2 plot different outputs at the same design branch (q=deposition_temperature, step=n/a, unit=°C, material=Pt) = 200"
10.1038_am.2016.182,CAND-10.103-020,CAND-10.103-031,DESIGN_IDENTITY,MERGED,SUPPORTED,EV-10.103-062,ok,ok,ok,none,-,APPLIED,-,CASE-10.103-020,CASE-10.103-020,-,"panels a/b of figure 2 plot different outputs at the same design branch (q=deposition_temperature, step=n/a, unit=°C, material=Pt) = 250"
10.1038_am.2016.182,CAND-10.103-020,CAND-10.103-033,-,BLOCKED,SUPPORTED,EV-10.103-063,ok,ok,ok,CONTRADICTS,precursor HDMP  vs MeCpPtMe3 ,ACTIVE_CONTRADICTION,-,CASE-10.103-020,CASE-10.103-023,-,contradictory case-defining conditions
10.1038_am.2016.182,CAND-10.103-021,CAND-10.103-032,DESIGN_IDENTITY,MERGED,SUPPORTED,EV-10.103-067,ok,ok,ok,none,-,APPLIED,-,CASE-10.103-021,CASE-10.103-021,-,"panels a/b of figure 2 plot different outputs at the same design branch (q=deposition_temperature, step=n/a, unit=°C, material=Pt) = 300"
10.1038_am.2016.182,CAND-10.103-021,CAND-10.103-035,-,BLOCKED,SUPPORTED,EV-10.103-068,ok,ok,ok,CONTRADICTS,precursor HDMP  vs MeCpPtMe3 ,ACTIVE_CONTRADICTION,-,CASE-10.103-021,CASE-10.103-025,-,contradictory case-defining conditions
10.1038_am.2016.182,CAND-10.103-023,CAND-10.103-031,-,BLOCKED,SUPPORTED,EV-10.103-064,ok,ok,ok,CONTRADICTS,precursor MeCpPtMe3  vs HDMP ,ACTIVE_CONTRADICTION,-,CASE-10.103-023,CASE-10.103-020,-,contradictory case-defining conditions
