paper,candidate_a,candidate_b,figure_a,panel_a,figure_b,panel_b,design_id_a,design_id_b,varied_quantity_a,varied_quantity_b,branch_value_a,branch_value_b,link_class,action,strength,reason
10.1038_am.2016.182,CAND-10.103-015,CAND-10.103-026,2,a,2,b,DES::10.1038_am.2016.182::F2a::deposition_temperature,DES::10.1038_am.2016.182::F2b::deposition_temperature,deposition_temperature,deposition_temperature,80.0,80.0,SUPPORTED,MERGED,SUPPORTED,panels a/b of figure 2 plot different outputs at the same design branch deposition_temperature = 80 °C
10.1038_am.2016.182,CAND-10.103-016,CAND-10.103-027,2,a,2,b,DES::10.1038_am.2016.182::F2a::deposition_temperature,DES::10.1038_am.2016.182::F2b::deposition_temperature,deposition_temperature,deposition_temperature,100.0,100.0,SUPPORTED,MERGED,SUPPORTED,panels a/b of figure 2 plot different outputs at the same design branch deposition_temperature = 100 °C
10.1038_am.2016.182,CAND-10.103-017,CAND-10.103-028,2,a,2,b,DES::10.1038_am.2016.182::F2a::deposition_temperature,DES::10.1038_am.2016.182::F2b::deposition_temperature,deposition_temperature,deposition_temperature,120.0,120.0,SUPPORTED,MERGED,SUPPORTED,panels a/b of figure 2 plot different outputs at the same design branch deposition_temperature = 120 °C
10.1038_am.2016.182,CAND-10.103-018,CAND-10.103-029,2,a,2,b,DES::10.1038_am.2016.182::F2a::deposition_temperature,DES::10.1038_am.2016.182::F2b::deposition_temperature,deposition_temperature,deposition_temperature,150.0,150.0,SUPPORTED,MERGED,SUPPORTED,panels a/b of figure 2 plot different outputs at the same design branch deposition_temperature = 150 °C
10.1038_am.2016.182,CAND-10.103-019,CAND-10.103-030,2,a,2,b,DES::10.1038_am.2016.182::F2a::deposition_temperature,DES::10.1038_am.2016.182::F2b::deposition_temperature,deposition_temperature,deposition_temperature,200.0,200.0,SUPPORTED,MERGED,SUPPORTED,panels a/b of figure 2 plot different outputs at the same design branch deposition_temperature = 200 °C
10.1038_am.2016.182,CAND-10.103-020,CAND-10.103-031,2,a,2,b,DES::10.1038_am.2016.182::F2a::deposition_temperature,DES::10.1038_am.2016.182::F2b::deposition_temperature,deposition_temperature,deposition_temperature,250.0,250.0,SUPPORTED,MERGED,SUPPORTED,panels a/b of figure 2 plot different outputs at the same design branch deposition_temperature = 250 °C
10.1038_am.2016.182,CAND-10.103-020,CAND-10.103-033,2,a,2,b,DES::10.1038_am.2016.182::F2a::deposition_temperature,DES::10.1038_am.2016.182::F2b::deposition_temperature,deposition_temperature,deposition_temperature,250.0,250.0,SUPPORTED,BLOCKED,SUPPORTED,contradictory case-defining conditions
10.1038_am.2016.182,CAND-10.103-021,CAND-10.103-032,2,a,2,b,DES::10.1038_am.2016.182::F2a::deposition_temperature,DES::10.1038_am.2016.182::F2b::deposition_temperature,deposition_temperature,deposition_temperature,300.0,300.0,SUPPORTED,MERGED,SUPPORTED,panels a/b of figure 2 plot different outputs at the same design branch deposition_temperature = 300 °C
10.1038_am.2016.182,CAND-10.103-021,CAND-10.103-035,2,a,2,b,DES::10.1038_am.2016.182::F2a::deposition_temperature,DES::10.1038_am.2016.182::F2b::deposition_temperature,deposition_temperature,deposition_temperature,300.0,300.0,SUPPORTED,BLOCKED,SUPPORTED,contradictory case-defining conditions
10.1038_am.2016.182,CAND-10.103-023,CAND-10.103-031,2,a,2,b,DES::10.1038_am.2016.182::F2a::deposition_temperature,DES::10.1038_am.2016.182::F2b::deposition_temperature,deposition_temperature,deposition_temperature,250.0,250.0,SUPPORTED,BLOCKED,SUPPORTED,contradictory case-defining conditions
