paper,kind,reason_class,status,a,b,a_figure,b_figure,reason
10.1038_am.2016.182,measurement_without_case,PROVENANCE_CHAIN_INCOMPLETE,UNRESOLVED,M::10.1038_am.2016.182__Fig3e,,3,,no statement in the section reporting this figure identifies which synthesis produced the measured specimen
10.1038_am.2016.182,measurement_without_case,PROVENANCE_CHAIN_INCOMPLETE,UNRESOLVED,M::10.1038_am.2016.182__Fig3f,,3,,no statement in the section reporting this figure identifies which synthesis produced the measured specimen
10.1038_am.2016.182,measurement_without_case,PROVENANCE_CHAIN_INCOMPLETE,UNRESOLVED,M::SUP::10.1038_am.2016.182::F4b,,4,,no statement in the section reporting this figure identifies which synthesis produced the measured specimen
10.1038_am.2016.182,measurement_without_case,PROVENANCE_CHAIN_INCOMPLETE,UNRESOLVED,M::SUP::10.1038_am.2016.182::F4c,,4,,no statement in the section reporting this figure identifies which synthesis produced the measured specimen
10.1038_am.2016.182,measurement_without_case,PROVENANCE_CHAIN_INCOMPLETE,UNRESOLVED,M::SUP::10.1038_am.2016.182::F4d,,4,,no statement in the section reporting this figure identifies which synthesis produced the measured specimen
10.1038_am.2016.182,measurement_without_case,SOURCE_TRULY_UNSPECIFIED,UNRESOLVED,M::SUP::10.1038_am.2016.182::F4e,,4,,no deposition case is established for this result: the extraction stage holds no data for this panel
10.1038_am.2016.182,measurement_without_case,PROVENANCE_CHAIN_INCOMPLETE,UNRESOLVED,M::SUP::10.1038_am.2016.182::F4g,,4,,no statement in the section reporting this figure identifies which synthesis produced the measured specimen
10.1149_2.067203jes,measurement_without_case,MEASUREMENT_ONLY_FIGURE,UNRESOLVED,M::10.1149_2.067203jes__Fig1a__exp01,,1,,no deposition case is established for this result: the source does not state which deposition produced the specimen it was measured on
10.1149_2.067203jes,measurement_without_case,MEASUREMENT_ONLY_FIGURE,UNRESOLVED,M::10.1149_2.067203jes__Fig1a__exp02,,1,,no deposition case is established for this result: the source does not state which deposition produced the specimen it was measured on
10.1149_2.067203jes,measurement_without_case,SOURCE_TRULY_UNSPECIFIED,UNRESOLVED,M::10.1149_2.067203jes__Fig9a__exp01,,9,,no deposition case is established for this result: the source does not state which deposition produced the specimen it was measured on
10.1149_2.067203jes,measurement_without_case,SOURCE_TRULY_UNSPECIFIED,UNRESOLVED,M::10.1149_2.067203jes__Fig9a__exp02,,9,,no deposition case is established for this result: the source does not state which deposition produced the specimen it was measured on
10.1149_2.067203jes,measurement_without_case,SOURCE_TRULY_UNSPECIFIED,UNRESOLVED,M::10.1149_2.067203jes__Fig9b__exp01,,9,,no deposition case is established for this result: the source does not state which deposition produced the specimen it was measured on
10.1149_2.067203jes,measurement_without_case,SOURCE_TRULY_UNSPECIFIED,UNRESOLVED,M::10.1149_2.067203jes__Fig9b__exp02,,9,,no deposition case is established for this result: the source does not state which deposition produced the specimen it was measured on
10.1149_2.067203jes,measurement_without_case,PROVENANCE_CHAIN_INCOMPLETE,UNRESOLVED,M::10.1149_2.067203jes__Fig10a__exp01,,10,,no statement in the section reporting this figure identifies which synthesis produced the measured specimen
10.1149_2.067203jes,measurement_without_case,REFERENCE_BY_DESIGN,UNRESOLVED,M::10.1149_2.067203jes__Fig10a__exp02,,10,,"the legend 'Reference' names a comparison control, so this result is not attributed to a deposition case"
10.1149_2.067203jes,measurement_without_case,SOURCE_TRULY_UNSPECIFIED,UNRESOLVED,M::10.1149_2.067203jes__Fig10b,,10,,no deposition case is established for this result: the source does not state which deposition produced the specimen it was measured on
10.1149_2.067203jes,measurement_without_case,SOURCE_TRULY_UNSPECIFIED,UNRESOLVED,M::10.1149_2.067203jes__Fig11b,,11,,no deposition case is established for this result: the source does not state which deposition produced the specimen it was measured on
10.1039_c7ta03257a,measurement_without_case,REFERENCE_BY_DESIGN,UNRESOLVED,M::10.1039_c7ta03257a__Fig7a__exp01,,7,,"the legend 'uncoated' names a comparison control, so this result is not attributed to a deposition case"
10.1039_c7ta03257a,measurement_without_case,PROVENANCE_CHAIN_INCOMPLETE,UNRESOLVED,M::10.1039_c7ta03257a__Fig7a__exp02,,7,,no statement in the section reporting this figure identifies which synthesis produced the measured specimen
10.1039_c7ta03257a,measurement_without_case,REFERENCE_BY_DESIGN,UNRESOLVED,M::10.1039_c7ta03257a__Fig8a__exp01,,8,,"the legend 'uncoated' names a comparison control, so this result is not attributed to a deposition case"
10.1039_d0cp03358h,measurement_without_case,PROVENANCE_CHAIN_INCOMPLETE,UNRESOLVED,M::10.1039_d0cp03358h__Fig3b,,3,,no statement in the section reporting this figure identifies which synthesis produced the measured specimen
10.1039_d0cp03358h,measurement_without_case,PROVENANCE_CHAIN_INCOMPLETE,UNRESOLVED,M::10.1039_d0cp03358h__Fig5b__exp02,,5,,no statement in the section reporting this figure identifies which synthesis produced the measured specimen
10.1039_d0cp03358h,measurement_without_case,PROVENANCE_CHAIN_INCOMPLETE,UNRESOLVED,M::10.1039_d0cp03358h__Fig5b__exp03,,5,,no statement in the section reporting this figure identifies which synthesis produced the measured specimen
