         2621260 function calls (2287386 primitive calls) in 458.204 seconds

   Ordered by: cumulative time
   List reduced from 2146 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.007    0.007  458.204  458.204 /home/ftk3187/github/PSED/psed_v1/_diagnostics/semantic_pilot_9papers/code/run_pilot.py:186(main)
        9    0.000    0.000  457.916   50.880 profile_pilot.py:172(timed_build)
  20706/9    0.144    0.000  457.916   50.880 profile_pilot.py:56(wrapper)
        9    0.097    0.011  457.902   50.878 /home/ftk3187/github/PSED/psed_v1/_diagnostics/semantic_pilot_9papers/code/pilot_semantics.py:225(build)
      400  447.950    1.120  448.073    1.120 /home/ftk3187/github/PSED/psed_v1/_diagnostics/semantic_pilot_9papers/code/pilot_semantics.py:214(body_near)
        9    0.004    0.000   13.475    1.497 /home/ftk3187/github/PSED/psed_v1/_diagnostics/semantic_pilot_9papers/code/pilot_semantics.py:1731(discover_links)
      164    0.003    0.000    3.778    0.023 /usr/lib/python3.8/json/__init__.py:183(dumps)
      164    0.357    0.002    3.775    0.023 /usr/lib/python3.8/json/encoder.py:182(encode)
   265774    0.703    0.000    3.412    0.000 /usr/lib/python3.8/json/encoder.py:413(_iterencode)
387834/263216    1.060    0.000    2.653    0.000 /usr/lib/python3.8/json/encoder.py:277(_iterencode_list)
446522/265371    1.233    0.000    1.997    0.000 /usr/lib/python3.8/json/encoder.py:333(_iterencode_dict)
        9    0.006    0.001    1.446    0.161 /home/ftk3187/github/PSED/psed_v1/_diagnostics/semantic_pilot_9papers/code/pilot_supplements.py:212(build)
       12    0.002    0.000    1.383    0.115 /home/ftk3187/github/PSED/psed_v1/_diagnostics/semantic_pilot_9papers/code/pilot_supplements.py:186(render_page)
        9    0.017    0.002    1.219    0.135 /home/ftk3187/github/PSED/psed_v1/_diagnostics/semantic_pilot_9papers/code/pilot_semantics.py:1905(deposition_runs)
    11824    0.066    0.000    0.988    0.000 /home/ftk3187/github/PSED/psed_v1/_diagnostics/semantic_pilot_9papers/code/pilot_evidence.py:158(linkage_evidence)
    35472    0.589    0.000    0.922    0.000 /home/ftk3187/github/PSED/psed_v1/_diagnostics/semantic_pilot_9papers/code/pilot_evidence.py:148(_hits)
    42480    0.131    0.000    0.685    0.000 /usr/lib/python3.8/re.py:289(_compile)
      226    0.203    0.001    0.642    0.003 /home/ftk3187/github/PSED/psed_v1/_diagnostics/semantic_pilot_9papers/code/pilot_roles.py:225(material_roles)
       34    0.109    0.003    0.621    0.018 /home/ftk3187/github/PSED/psed_v1/_diagnostics/semantic_pilot_9papers/code/pilot_semantics.py:66(_sentences)
