paper_id,selected,pdf_available,selection_value,dimensions_covered,current_experiment_count,result_series_count,figure_count,measured_count,simulated_count,cross_figure_measurement_signal,methods_condition_dependency,multi_material,material_role_complexity,mixed_geometry,HAR,sweep_complexity,measurement_setting_variation,sample_signal,run_signal,characterization_only,device_result,representation_variants,simulation_present,text_table_supported_case,multi_output_measurement,series_grouping,imported_literature,ambiguity_level,multi_measurand_figures,fit_count,geometry_class,materials,notes
10.1039_d0ra09876k,1,1,10,10,50,34,8,34,0,0,0,1,0,1,4,7,1,0,0,8,10,0,1,0,9,0,0,11,4,6,planar,Y2O3,SELECTED
10.1039_c5ta00205b,1,1,9,9,20,21,9,21,0,0,0,1,1,0,6,3,3,0,0,9,11,0,0,0,4,0,0,14,0,0,porous_material,Pt,SELECTED
cremers2019,1,1,9,9,6,93,9,16,77,0,0,3,7,0,257,0,1,1,1,0,13,8,86,0,0,0,0,0,3,1,,Al2O3;HfO2;SiO2,SELECTED
10.1021_acs.langmuir.6b03119,1,1,8,8,12,12,2,12,0,0,0,1,3,1,28,0,1,0,0,0,5,2,0,0,0,0,2,0,1,0,planar,Al2O3,SELECTED
10.1039_d0ra01602k,1,1,6,6,53,36,7,36,0,0,0,1,0,1,7,3,0,0,0,0,5,0,0,0,27,0,0,0,0,0,planar,SiO2,SELECTED
10.1039_c7ra13417g,0,1,11,11,31,17,6,17,0,0,2,1,0,1,5,5,1,0,0,4,9,4,0,0,7,0,0,4,2,1,planar,Y2O3,"PDF available, not selected"
10.1039_c4nr05049e,0,1,6,6,6,15,5,15,0,0,0,1,1,0,5,0,0,0,0,2,0,0,0,0,3,0,0,8,2,1,porous_material,TiO2,"PDF available, not selected"
10.1039_c3ra42928h,0,1,5,5,8,8,3,8,0,0,0,1,7,1,1,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,planar,TiO2,"PDF available, not selected"
10.1039_c3ta01665j,0,1,4,4,9,5,2,5,0,0,0,1,0,0,2,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,porous_material,Pt,"PDF available, not selected"
10.1063_1.2338776,0,1,4,4,1,3,2,3,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,planar,Al2O3,"PDF available, not selected"
10.1002_admi.202000318,0,0,0,9,54,35,5,34,1,1,0,1,0,1,1,4,0,0,0,0,2,0,3,0,27,0,0,1,3,0,planar,Fe2O3,no local PDF - cannot be PDF-ground-truth reviewed
10.1002_celc.201600139,0,0,0,4,17,17,4,17,0,1,0,1,0,0,0,0,0,0,0,0,17,0,0,0,7,0,0,0,2,0,planar,LiAlS_x,no local PDF - cannot be PDF-ground-truth reviewed
10.1002_cnma.201700148,0,0,0,7,7,9,2,9,0,0,0,1,12,1,6,0,3,0,0,0,0,0,0,0,6,0,1,0,1,2,planar,BN,no local PDF - cannot be PDF-ground-truth reviewed
10.1002_pssa.201532305,0,0,0,7,61,32,10,32,0,0,0,1,8,0,3,7,0,0,0,0,0,0,0,0,10,0,2,1,0,0,vertical_structure,W,no local PDF - cannot be PDF-ground-truth reviewed
10.1007_s11671-010-9676-0,0,0,0,4,6,6,2,6,0,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,5,0,0,0,1,0,porous_material,Fe2O3,no local PDF - cannot be PDF-ground-truth reviewed
10.1007_s12274-010-0066-9,0,0,0,5,1,1,1,1,0,0,0,3,42,0,7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,porous_material,Al2O3;Pt;TiO2,no local PDF - cannot be PDF-ground-truth reviewed
10.1016_j.jcrysgro.2017.04.019,0,0,0,3,4,4,2,4,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,planar,Bi2Te3,no local PDF - cannot be PDF-ground-truth reviewed
10.1016_j.matt.2019.12.026,0,0,0,8,0,0,0,0,0,0,0,2,2,1,80,0,0,0,0,1,8,0,0,1,0,0,0,1,0,0,planar,BN;MoS2,no local PDF - cannot be PDF-ground-truth reviewed
10.1016_j.mee.2018.01.027,0,0,0,10,0,2,1,2,0,0,2,2,1,1,27,0,1,0,0,2,0,1,0,1,0,0,0,2,0,0,planar,Al2O3;Ir,no local PDF - cannot be PDF-ground-truth reviewed
10.1016_j.mee.2018.01.033,0,0,0,9,0,0,0,0,0,0,1,2,34,1,2,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,planar,Al2O3;Ir,no local PDF - cannot be PDF-ground-truth reviewed
10.1016_j.sse.2022.108584,0,0,0,7,0,26,5,0,26,0,2,1,0,0,18,0,0,0,0,0,4,0,16,1,0,0,10,0,1,0,lateral_channel,Al2O3,no local PDF - cannot be PDF-ground-truth reviewed
10.1016_j.tsf.2012.11.127,0,0,0,6,35,32,6,32,0,0,0,2,0,1,2,1,2,0,0,0,0,0,0,0,31,0,0,0,0,0,planar,Fe2O3;ZrO2,no local PDF - cannot be PDF-ground-truth reviewed
10.1021_acs.chemmater.2c01154,0,0,0,7,107,51,8,51,0,0,0,3,0,1,2,16,2,0,0,0,8,0,0,0,26,0,0,0,0,0,planar,MoS2;TiS2;WS2,no local PDF - cannot be PDF-ground-truth reviewed
10.1021_acs.chemmater.2c02292,0,0,0,7,91,44,6,44,0,3,0,1,0,1,10,15,0,0,0,0,13,0,0,0,18,0,0,0,4,2,planar,RuO2,no local PDF - cannot be PDF-ground-truth reviewed
10.1021_acs.jpcc.9b08176,0,0,0,5,10,25,3,14,11,0,0,4,0,0,37,0,1,0,0,0,2,0,11,0,0,0,0,0,2,0,vertical_structure,Al2O3;HfO2;SiO2;TiO2,no local PDF - cannot be PDF-ground-truth reviewed
10.1039_c5tc03561a,0,0,0,9,30,20,5,20,0,1,0,2,0,1,14,4,1,0,0,0,10,0,0,0,15,0,3,0,1,0,planar,BaO;BaTiO3,no local PDF - cannot be PDF-ground-truth reviewed
10.1039_c6dt03571j,0,0,0,10,47,46,7,46,0,0,2,1,0,1,10,4,3,0,0,13,2,0,0,0,18,0,0,13,2,4,planar,ZnO,no local PDF - cannot be PDF-ground-truth reviewed
10.1039_c7ra07722j,0,0,0,9,57,33,7,33,0,1,1,2,0,1,9,5,1,0,0,0,12,0,0,0,11,0,0,0,1,2,planar,Li2CO3;Li2O,no local PDF - cannot be PDF-ground-truth reviewed
10.1039_d3dt01824e,0,0,0,7,38,32,7,32,0,1,0,1,0,1,14,2,0,0,0,0,1,0,0,0,24,0,0,0,0,0,planar,Er2O3,no local PDF - cannot be PDF-ground-truth reviewed
10.1039_d3ra05217f,0,0,0,6,26,41,8,41,0,0,0,1,0,0,0,0,2,0,0,14,7,0,0,0,25,0,0,14,4,0,planar,Y2O3,no local PDF - cannot be PDF-ground-truth reviewed
10.1063_1.4867469,0,0,0,8,4,6,3,6,0,0,0,1,2,1,1,0,0,0,0,2,2,0,0,0,4,0,0,2,0,0,planar,BaTiO3,no local PDF - cannot be PDF-ground-truth reviewed
10.1063_1.5028178,0,0,0,5,2,19,6,4,15,0,0,2,0,0,27,0,2,0,0,0,3,0,15,0,0,0,0,0,0,2,lateral_channel,Al2O3;TiO2,no local PDF - cannot be PDF-ground-truth reviewed
10.1116_1.4892385,0,0,0,4,1,9,2,3,6,0,0,1,0,0,1,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,porous_material,ZrO2,no local PDF - cannot be PDF-ground-truth reviewed
10.1116_1.4938104,0,0,0,11,10,19,6,19,0,0,0,2,2,1,15,0,0,0,1,9,16,5,0,0,4,0,1,9,0,0,planar,Al2O3;Pt,no local PDF - cannot be PDF-ground-truth reviewed
10.1116_6.0002154,0,0,0,6,29,28,7,28,0,0,0,1,2,0,0,1,0,0,0,0,2,0,0,0,23,0,0,2,2,2,planar,Mo2N,no local PDF - cannot be PDF-ground-truth reviewed
10.1116_6.0002436,0,0,0,5,78,33,6,33,0,1,0,1,0,0,0,7,0,0,0,0,1,0,0,0,24,0,0,0,0,0,planar,MoOx,no local PDF - cannot be PDF-ground-truth reviewed
10.1116_6.0002804,0,0,0,7,56,34,6,34,0,0,0,1,0,1,17,4,0,0,0,0,5,0,0,0,11,0,0,1,1,0,planar,Mo,no local PDF - cannot be PDF-ground-truth reviewed
10.1186_s11671-015-0872-9,0,0,0,5,1,1,1,1,0,0,0,1,28,0,35,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,porous_material,TiO2,no local PDF - cannot be PDF-ground-truth reviewed
10.3762_bjnano.14.89,0,0,0,7,29,26,11,26,0,0,0,1,0,1,3,1,0,0,0,0,3,0,0,0,16,0,0,3,0,0,planar,SnO2,no local PDF - cannot be PDF-ground-truth reviewed
10.3762_bjnano.5.25,0,0,0,6,5,39,4,5,34,0,1,2,0,0,9,0,0,0,0,0,1,10,34,0,0,0,0,0,1,0,porous_material,Al2O3;TiO2,no local PDF - cannot be PDF-ground-truth reviewed
