measurement_id,sample_code,technique,measurement_condition,figure,panel,measured_quantity,result,same_specimen_explicit,evidence,confidence
MEAS_01,"1,2,3",reflectometry,50x objective,9 / Table 1,-,thickness vs distance,saturation profiles,no,Series A,HIGH
MEAS_02,4,reflectometry,"50x, spot 5-6 um",Table 1,-,thickness vs distance,profile,no,Series B,HIGH
MEAS_03,5,reflectometry,"10x, spot 25 um",Table 1,-,thickness vs distance,profile,no,Series B,HIGH
MEAS_04,6,reflectometry,"5x, spot 50 um",Table 1,-,thickness vs distance,profile,no,Series B,HIGH
MEAS_05,11,SEM,top view,5,a,surface image,image,YES,"Fig. 5a ""SEM image of sample 11 surface""",HIGH
MEAS_06,11,SEM-EDS elemental X-ray mapping,"Al-Ka map, 5 keV",5,a overlay,Al-Ka X-ray counts,map,YES,"Fig. 5a overlay; Experimental C ""Elemental X-ray mapping ... performed first""",HIGH
MEAS_07,11,SEM-EDS line scan,"5 keV, 500 um line, 1 um points",5,b,"Al, Si, O elemental profiles",line profile,YES,"Fig. 5b ""in the same sample""",HIGH
MEAS_08,8,reflectometry (repeated),"same sample, repeated measurement",8,a,thickness vs distance,repeatability spread,YES,"Fig. 8a ""(sample 8 in Table 1)""",HIGH
MEAS_09,"various (v1b, H=500, 500 cycles)",reflectometry,"different chips, different ALD runs",8,b,thickness vs distance,reproducibility spread,no,"Fig. 8b ""reproducibility of ALD runs ... various LHAR channels""",HIGH
MEAS_10,"7,8,9",reflectometry,50x,9,a-c,thickness vs distance,Series C profiles,no,Fig. 9 Series C,HIGH
MEAS_11,"8,10,11",reflectometry,50x,9,d-f,thickness vs distance,Series D profiles,no,Fig. 9 Series D,HIGH
MEAS_12,"12,13,14",reflectometry,50x,11,a,thickness vs distance,Series E profiles,no,Fig. 11a,HIGH
MEAS_13,"12,15,16",reflectometry,50x,11,b,thickness vs distance,Series F profiles,no,Fig. 11b,HIGH
MEAS_14,all,optical microscopy,before/after membrane peel,1c etc,-,image,image,no,Experimental C,MEDIUM
