paper,doi,figure,panel,series,curve_id,n_points,source_file,json_pointer,source_checksum,linked_experiments,previous_granularity,resolved_granularity,granularity_changed,reextraction_used,x_raw_label,x_raw_quantity,x_raw_unit,x_resolved_unit,x_unit_recovered,x_resolved_meaning,x_axis_role,x_normalization_definition,x_canonical_quantity,x_canonical_unit,x_comparison_group,x_projections,x_rules_applied,x_status,x_unresolved_reason,x_context_required,x_context_scope,x_context_found,x_evidence_source,x_evidence_span,x_evidence_method,x_confidence,x_needs_manual_review,y_raw_label,y_raw_quantity,y_raw_unit,y_resolved_unit,y_unit_recovered,y_resolved_meaning,y_axis_role,y_normalization_definition,y_canonical_quantity,y_canonical_unit,y_comparison_group,y_projections,y_rules_applied,y_status,y_unresolved_reason,y_context_required,y_context_scope,y_context_found,y_evidence_source,y_evidence_span,y_evidence_method,y_confidence,y_needs_manual_review
10.1002_admi.202000318,10.1002_admi.202000318,1,a,,10.1002_admi.202000318::F1::a::0,7,03_corpus/extracted/10.1002_admi.202000318/figure_data.json,/figures/0/panels/0/series/0,sha256:d04f9926a7bbcb105e0c2919e1272b346ac7e7e185c24bf8d65960934c11408f,,,series,False,False,Total Ozone Pulse (s),pulse_time,s,s,False,condition_sweep,condition,,pulse_time,s,pulse_time,,identity_canonical_mapping,already_canonical,,,,False,,,,,False,Growth Per Cycle (Å/cyc),growth_per_cycle,Å/cyc,Å/cyc,False,output,output,,growth_per_cycle,nm/cycle,growth_per_cycle,,growth_per_cycle_unit_conversion,converted,,,,False,,,,,False
10.1002_admi.202000318,10.1002_admi.202000318,1,b,,10.1002_admi.202000318::F1::b::0,20,03_corpus/extracted/10.1002_admi.202000318/figure_data.json,/figures/0/panels/1/series/0,sha256:d04f9926a7bbcb105e0c2919e1272b346ac7e7e185c24bf8d65960934c11408f,,,series,False,False,Integrated Metal Precursor Pulse (torr-s),exposure,torr-s,torr-s,False,condition_sweep,condition,,,,,,axis_semantic_resolution,unsupported,no declared unit-conversion rule for dimension exposure,,,False,,,,,False,Growth Per Cycle (Å/cyc),growth_per_cycle,Å/cyc,Å/cyc,False,output,output,,growth_per_cycle,nm/cycle,growth_per_cycle,,growth_per_cycle_unit_conversion,converted,,,,False,,,,,False
10.1002_admi.202000318,10.1002_admi.202000318,1,c,,10.1002_admi.202000318::F1::c::0,6,03_corpus/extracted/10.1002_admi.202000318/figure_data.json,/figures/0/panels/2/series/0,sha256:d04f9926a7bbcb105e0c2919e1272b346ac7e7e185c24bf8d65960934c11408f,,,series,False,False,# of ALD Cycles,cycle_number,,,False,condition_sweep,condition,,,,,,axis_semantic_resolution,unsupported,"unit '' is not a recognised, convertible unit (arbitrary/uncalibrated or unparseable)",,,False,,,,,False,Film Thickness (Å),film_thickness,Å,Å,False,output,output,,film_thickness,nm,film_thickness,,length_unit_conversion,converted,,,,False,,,,,False
10.1002_admi.202000318,10.1002_admi.202000318,1,d,,10.1002_admi.202000318::F1::d::0,5,03_corpus/extracted/10.1002_admi.202000318/figure_data.json,/figures/0/panels/3/series/0,sha256:d04f9926a7bbcb105e0c2919e1272b346ac7e7e185c24bf8d65960934c11408f,,,series,False,False,Temperature (°C),deposition_temperature,°C,°C,False,condition_sweep,condition,,deposition_temperature,K,process_temperature,,temperature_unit_conversion,converted,,,,False,,,,,False,Growth Per Cycle (Å/cyc),growth_per_cycle,Å/cyc,Å/cyc,False,output,output,,growth_per_cycle,nm/cycle,growth_per_cycle,,growth_per_cycle_unit_conversion,converted,,,,False,,,,,False
10.1002_admi.202000318,10.1002_admi.202000318,2,a,10s Ozone,10.1002_admi.202000318::F2::a::0,4,03_corpus/extracted/10.1002_admi.202000318/figure_data.json,/figures/1/panels/0/series/0,sha256:d04f9926a7bbcb105e0c2919e1272b346ac7e7e185c24bf8d65960934c11408f,10.1002_admi.202000318-E004,multi_output,correlation,True,False,,Angle,degrees,degrees,False,output,output,,,,,,axis_semantic_resolution,not_applicable,quantity 'angle' is not a comparison target (no comparison group declares it),,,False,,,,,False,,O/[Fe+O],%,%,False,output,output,,,,,,axis_semantic_resolution,not_applicable,quantity 'oxygen_iron_ratio' is not a comparison target (no comparison group declares it),,,False,,,,,False
10.1002_admi.202000318,10.1002_admi.202000318,2,a,60s Ozone,10.1002_admi.202000318::F2::a::1,4,03_corpus/extracted/10.1002_admi.202000318/figure_data.json,/figures/1/panels/0/series/1,sha256:d04f9926a7bbcb105e0c2919e1272b346ac7e7e185c24bf8d65960934c11408f,10.1002_admi.202000318-E005,multi_output,correlation,True,False,,Angle,degrees,degrees,False,output,output,,,,,,axis_semantic_resolution,not_applicable,quantity 'angle' is not a comparison target (no comparison group declares it),,,False,,,,,False,,O/[Fe+O],%,%,False,output,output,,,,,,axis_semantic_resolution,not_applicable,quantity 'oxygen_iron_ratio' is not a comparison target (no comparison group declares it),,,False,,,,,False
10.1002_admi.202000318,10.1002_admi.202000318,2,a,100s Ozone,10.1002_admi.202000318::F2::a::2,4,03_corpus/extracted/10.1002_admi.202000318/figure_data.json,/figures/1/panels/0/series/2,sha256:d04f9926a7bbcb105e0c2919e1272b346ac7e7e185c24bf8d65960934c11408f,10.1002_admi.202000318-E006,multi_output,correlation,True,False,,Angle,degrees,degrees,False,output,output,,,,,,axis_semantic_resolution,not_applicable,quantity 'angle' is not a comparison target (no comparison group declares it),,,False,,,,,False,,O/[Fe+O],%,%,False,output,output,,,,,,axis_semantic_resolution,not_applicable,quantity 'oxygen_iron_ratio' is not a comparison target (no comparison group declares it),,,False,,,,,False
10.1002_admi.202000318,10.1002_admi.202000318,2,a,120s Ozone,10.1002_admi.202000318::F2::a::3,4,03_corpus/extracted/10.1002_admi.202000318/figure_data.json,/figures/1/panels/0/series/3,sha256:d04f9926a7bbcb105e0c2919e1272b346ac7e7e185c24bf8d65960934c11408f,10.1002_admi.202000318-E007,multi_output,correlation,True,False,,Angle,degrees,degrees,False,output,output,,,,,,axis_semantic_resolution,not_applicable,quantity 'angle' is not a comparison target (no comparison group declares it),,,False,,,,,False,,O/[Fe+O],%,%,False,output,output,,,,,,axis_semantic_resolution,not_applicable,quantity 'oxygen_iron_ratio' is not a comparison target (no comparison group declares it),,,False,,,,,False
10.1002_admi.202000318,10.1002_admi.202000318,2,a,"120s Ozone, x10 TBF",10.1002_admi.202000318::F2::a::4,4,03_corpus/extracted/10.1002_admi.202000318/figure_data.json,/figures/1/panels/0/series/4,sha256:d04f9926a7bbcb105e0c2919e1272b346ac7e7e185c24bf8d65960934c11408f,10.1002_admi.202000318-E008,multi_output,correlation,True,False,,Angle,degrees,degrees,False,output,output,,,,,,axis_semantic_resolution,not_applicable,quantity 'angle' is not a comparison target (no comparison group declares it),,,False,,,,,False,,O/[Fe+O],%,%,False,output,output,,,,,,axis_semantic_resolution,not_applicable,quantity 'oxygen_iron_ratio' is not a comparison target (no comparison group declares it),,,False,,,,,False
10.1002_admi.202000318,10.1002_admi.202000318,4,a,Reflectivity,10.1002_admi.202000318::F4::a::0,34,03_corpus/extracted/10.1002_admi.202000318/figure_data.json,/figures/2/panels/0/series/0,sha256:d04f9926a7bbcb105e0c2919e1272b346ac7e7e185c24bf8d65960934c11408f,10.1002_admi.202000318-E009,multi_output,unresolved,True,False,,2θ,degrees,degrees,False,unknown,,,,,,,axis_semantic_resolution,unsupported,x quantity '2θ' does not resolve to any ontology QuantityKind,,,False,,,,,False,,Intensity,cps,cps,False,output,output,,,,,,axis_semantic_resolution,not_applicable,quantity 'intensity' is not a comparison target (no comparison group declares it),,,False,,,,,False
