doi,experiments_before,experiments_after,delta,series_created,condition_curves_split,experiments_from_splits,preserved_ids,removed_ids,added_ids,measurands_rescaled,coordinate_units_resolved,coordinate_units_unresolved,context_conflicts_detected
10.1002_admi.202000318,17,132,115,8,8,123,9,8,123,52,56,76,0
10.1002_celc.201600139,17,189,172,10,10,182,7,10,182,93,182,7,0
10.1002_cnma.201700148,1,1,0,0,0,0,1,0,0,0,0,1,0
10.1002_pssa.201532305,28,300,272,15,15,287,13,15,287,10,299,1,300
10.1007_s11671-010-9676-0,1,1,0,0,0,0,1,0,0,0,0,1,0
10.1007_s12274-010-0066-9,1,1,0,0,0,0,1,0,0,0,1,0,0
10.1016_j.jcrysgro.2017.04.019,3,30,27,3,3,30,0,3,30,0,30,0,0
10.1016_j.matt.2019.12.026,1,1,0,0,0,0,1,0,0,0,0,1,0
10.1016_j.mee.2018.01.027,2,2,0,0,0,0,2,0,0,0,0,2,2
10.1016_j.mee.2018.01.033,1,1,0,0,0,0,1,0,0,0,0,1,1
10.1016_j.sse.2022.108584,26,74,48,3,3,51,23,3,51,0,66,8,148
10.1016_j.tsf.2012.11.127,32,35,3,1,1,4,31,1,4,0,32,3,0
10.1021_acs.chemmater.2c01154,56,190,134,18,18,152,38,18,152,32,154,36,190
10.1021_acs.chemmater.2c02292,44,155,111,17,17,128,27,17,128,26,79,76,0
10.1021_acs.jpcc.9b08176,15,136,121,13,13,134,2,13,134,0,136,0,136
10.1039_c5tc03561a,14,25,11,4,4,15,10,4,15,24,17,8,0
10.1039_c6dt03571j,26,44,18,4,4,22,22,4,22,20,30,14,0
10.1039_c7ra07722j,34,240,206,16,16,222,18,16,222,0,229,11,0
10.1039_d0cp03358h,74,74,0,0,0,0,74,0,0,0,37,37,148
10.1039_d3dt01824e,30,54,24,6,6,30,24,6,30,35,39,15,0
10.1039_d3ra05217f,36,218,182,8,8,190,28,8,190,125,156,62,0
10.1063_1.4867469,6,6,0,0,0,0,6,0,0,0,0,6,0
10.1063_1.5028178,19,74,55,3,3,58,16,3,58,58,74,0,148
10.1116_1.4892385,6,6,0,0,0,0,6,0,0,3,6,0,0
10.1116_1.4938104,12,78,66,8,8,74,4,8,74,0,74,4,0
10.1116_6.0002154,26,75,49,3,3,52,23,3,52,61,73,2,0
10.1116_6.0002436,35,82,47,7,7,54,28,7,54,54,58,24,0
10.1116_6.0002804,34,121,87,21,21,108,13,21,108,24,118,3,0
10.1186_s11671-015-0872-9,1,1,0,0,0,0,1,0,0,0,1,0,1
10.3762_bjnano.14.89,26,72,46,5,5,51,21,5,51,0,62,10,0
10.3762_bjnano.5.25,39,39,0,0,0,0,39,0,0,5,38,1,0
