sample_index,paper_id,record_id,_stage,_stratum,kind,relevance,granularity,is_model_result,in_series,figure_number,fig_docling_index,panel,series_name,coordinate,measurand,n_points,has_context_conflicts,created_by_granularity_migration,has_pressure,has_temperature,has_pulse_time,has_purge_time,has_cycle_count,has_geometry
1,10.1002_admi.202000318,10.1002_admi.202000318-1d-S3-P003,quota_per_paper,condition_axis|experimental,series_member_experiment,experimental,single,False,10.1002_admi.202000318-1d-S3,1,1,d,,deposition_temperature,growth_per_cycle,1,False,True,True,True,False,False,False,False
2,10.1002_admi.202000318,10.1002_admi.202000318-6a-S4-P023,quota_per_paper,condition_axis|experimental,series_member_experiment,experimental,single,False,10.1002_admi.202000318-6a-S4,6,6,a,ozone exposure time: 100s Ozone,site_density,intensity,1,False,True,True,True,False,False,False,False
3,10.1002_admi.202000318,10.1002_admi.202000318-6a-S5-P000,proportional,condition_axis|experimental,series_member_experiment,experimental,single,False,10.1002_admi.202000318-6a-S5,6,6,a,ozone exposure time: 60s Ozone,site_density,intensity,1,False,True,True,True,False,False,False,False
4,10.1002_admi.202000318,10.1002_admi.202000318-6a-S6-P010,proportional,condition_axis|experimental,series_member_experiment,experimental,single,False,10.1002_admi.202000318-6a-S6,6,6,a,ozone exposure time: 20s Ozone,site_density,intensity,1,False,True,True,True,False,False,False,False
5,10.1002_admi.202000318,10.1002_admi.202000318-F2a-5,proportional,correlation_record|experimental,correlation_record,experimental,correlation,False,,2,2,a,ozone exposure time: 60s Ozone,angle,oxygen_iron_ratio,4,False,False,True,True,False,False,False,False
6,10.1002_celc.201600139,10.1002_celc.201600139-1b-S0-P002,proportional,condition_axis|experimental,series_member_experiment,experimental,single,False,10.1002_celc.201600139-1b-S0,1,4,b,precursor: LTB:H2S,cycle_number,Mass,1,False,True,False,True,False,False,True,False
7,10.1002_celc.201600139,10.1002_celc.201600139-1b-S0-P018,proportional,condition_axis|experimental,series_member_experiment,experimental,single,False,10.1002_celc.201600139-1b-S0,1,4,b,precursor: LTB:H2S,cycle_number,Mass,1,False,True,False,True,False,False,True,False
8,10.1002_celc.201600139,10.1002_celc.201600139-1b-S1-P022,proportional,condition_axis|experimental,series_member_experiment,experimental,single,False,10.1002_celc.201600139-1b-S1,1,4,b,precursor: TDMAAl:H2S,cycle_number,Mass,1,False,True,False,True,False,False,True,False
9,10.1002_celc.201600139,10.1002_celc.201600139-1b-S1-P030,proportional,condition_axis|experimental,series_member_experiment,experimental,single,False,10.1002_celc.201600139-1b-S1,1,4,b,precursor: TDMAAl:H2S,cycle_number,Mass,1,False,True,False,True,False,False,True,False
10,10.1002_celc.201600139,10.1002_celc.201600139-3d-S7-P000,proportional,condition_axis|experimental,series_member_experiment,experimental,single,False,10.1002_celc.201600139-3d-S7,3,10,d,electrode: Li_xAl_yS coated Cu,cycle_number,Hysteresis,1,False,True,False,False,False,False,True,False
11,10.1002_celc.201600139,10.1002_celc.201600139-4a-S8-P005,quota_per_paper,condition_axis|experimental,series_member_experiment,experimental,single,False,10.1002_celc.201600139-4a-S8,4,11,a,substrate: Pristine Cu,cycle_number,Coulombic Efficiency,1,False,True,False,False,False,False,True,False
12,10.1002_celc.201600139,10.1002_celc.201600139-4a-S9-P002,quota_per_paper,condition_axis|experimental,series_member_experiment,experimental,single,False,10.1002_celc.201600139-4a-S9,4,11,a,substrate: Li_xAl_yS coated Cu,cycle_number,Coulombic Efficiency,1,False,True,False,False,False,False,True,False
13,10.1002_cnma.201700148,10.1002_cnma.201700148-paper-0,quota_per_paper,paper_level_record|experimental,paper_level_record,experimental,single,False,,,,,,,growth_per_cycle,0,False,False,False,True,False,False,False,False
14,10.1002_pssa.201532305,10.1002_pssa.201532305-10a-S12-P028,proportional,condition_axis|experimental,series_member_experiment,experimental,single,False,10.1002_pssa.201532305-10a-S12,10,13,a,,cycle_number,film_thickness,1,True,True,True,True,False,False,True,False
15,10.1002_pssa.201532305,10.1002_pssa.201532305-10a-S12-P032,quota_per_paper,condition_axis|experimental,series_member_experiment,experimental,single,False,10.1002_pssa.201532305-10a-S12,10,13,a,,cycle_number,film_thickness,1,True,True,True,True,False,False,True,False
16,10.1002_pssa.201532305,10.1002_pssa.201532305-10a-S12-P039,proportional,condition_axis|experimental,series_member_experiment,experimental,single,False,10.1002_pssa.201532305-10a-S12,10,13,a,,cycle_number,film_thickness,1,True,True,True,True,False,False,True,False
17,10.1002_pssa.201532305,10.1002_pssa.201532305-4a-S0-P008,proportional,condition_axis|experimental,series_member_experiment,experimental,single,False,10.1002_pssa.201532305-4a-S0,4,6,a,hot-wire temperature: 1800 °C,exposure,film_thickness,1,True,True,True,True,False,False,False,False
18,10.1002_pssa.201532305,10.1002_pssa.201532305-4a-S2-P020,proportional,condition_axis|experimental,series_member_experiment,experimental,single,False,10.1002_pssa.201532305-4a-S2,4,6,a,hot-wire temperature: 1910 °C,exposure,film_thickness,1,True,True,True,True,False,False,False,False
19,10.1002_pssa.201532305,10.1002_pssa.201532305-4b-S4-P000,quota_per_paper,condition_axis|experimental,series_member_experiment,experimental,single,False,10.1002_pssa.201532305-4b-S4,4,6,b,H2 flow rate: H2 50 sccm,exposure,film_thickness,1,True,True,True,True,False,False,False,False
20,10.1002_pssa.201532305,10.1002_pssa.201532305-4b-S5-P012,proportional,condition_axis|experimental,series_member_experiment,experimental,single,False,10.1002_pssa.201532305-4b-S5,4,6,b,H2 flow rate: H2 100 sccm,exposure,film_thickness,1,True,True,True,True,False,False,False,False
21,10.1002_pssa.201532305,10.1002_pssa.201532305-4c-S6-P001,proportional,condition_axis|experimental,series_member_experiment,experimental,single,False,10.1002_pssa.201532305-4c-S6,4,6,c,WF6 flow rate: WF6 10 sccm,exposure,film_thickness,1,True,True,True,True,False,False,False,False
22,10.1002_pssa.201532305,10.1002_pssa.201532305-4d-S8-P007,proportional,condition_axis|experimental,series_member_experiment,experimental,single,False,10.1002_pssa.201532305-4d-S8,4,6,d,Ar flow rate: Ar 10 sccm,exposure,film_thickness,1,True,True,True,True,False,False,False,False
23,10.1002_pssa.201532305,10.1002_pssa.201532305-4d-S9-P017,proportional,condition_axis|experimental,series_member_experiment,experimental,single,False,10.1002_pssa.201532305-4d-S9,4,6,d,Ar flow rate: Ar 100 sccm,exposure,film_thickness,1,True,True,True,True,False,False,False,False
24,10.1007_s11671-010-9676-0,10.1007_s11671-010-9676-0-paper-0,quota_per_paper,paper_level_record|experimental,paper_level_record,experimental,single,False,,,,,,,,0,False,False,False,False,False,False,False,False
25,10.1007_s12274-010-0066-9,10.1007_s12274-010-0066-9-F1f-0,quota_per_paper,unresolved_experiment_record|experimental,unresolved_experiment_record,experimental,unresolved,False,,1,2,f,series: 200 ALD cycles,2θ,intensity,36,False,False,False,True,False,False,True,True
26,10.1016_j.jcrysgro.2017.04.019,10.1016_j.jcrysgro.2017.04.019-6a-S1-P004,proportional,condition_axis|experimental,series_member_experiment,experimental,single,False,10.1016_j.jcrysgro.2017.04.019-6a-S1,6,7,a,substrate: Si,cycle_number,film_thickness,1,False,True,True,False,False,False,True,False
27,10.1016_j.jcrysgro.2017.04.019,10.1016_j.jcrysgro.2017.04.019-6a-S2-P002,quota_per_paper,condition_axis|experimental,series_member_experiment,experimental,single,False,10.1016_j.jcrysgro.2017.04.019-6a-S2,6,7,a,substrate: SiO2,cycle_number,film_thickness,1,False,True,True,False,False,False,True,False
28,10.1016_j.jcrysgro.2017.04.019,10.1016_j.jcrysgro.2017.04.019-6a-S2-P009,quota_per_paper,condition_axis|experimental,series_member_experiment,experimental,single,False,10.1016_j.jcrysgro.2017.04.019-6a-S2,6,7,a,substrate: SiO2,cycle_number,film_thickness,1,False,True,True,False,False,False,True,False
29,10.1016_j.matt.2019.12.026,10.1016_j.matt.2019.12.026-paper-0,quota_per_paper,paper_level_record|experimental,paper_level_record,experimental,single,False,,,,,,,,0,False,False,False,False,False,False,False,False
30,10.1016_j.mee.2018.01.027,10.1016_j.mee.2018.01.027-F4b-0,quota_per_paper,unresolved_experiment_record|experimental,unresolved_experiment_record,experimental,unresolved,False,,4,3,b,series: 9th Talbot Order,visibility,count,20,True,False,True,True,False,False,False,True
31,10.1016_j.mee.2018.01.027,10.1016_j.mee.2018.01.027-F4c-1,quota_per_paper,unresolved_experiment_record|experimental,unresolved_experiment_record,experimental,unresolved,False,,4,3,c,series: 13th Talbot Order,visibility,count,21,True,False,True,True,False,False,False,True
32,10.1016_j.mee.2018.01.033,10.1016_j.mee.2018.01.033-paper-0,quota_per_paper,paper_level_record|experimental,paper_level_record,experimental,single,False,,,,,,,,0,True,False,False,False,False,False,False,True
33,10.1016_j.sse.2022.108584,10.1016_j.sse.2022.108584-5b-S1-P002,proportional,condition_axis|model,series_member_experiment,model,single,True,10.1016_j.sse.2022.108584-5b-S1,5,7,b,parameter: theta_sat,deposition_temperature,pulse_time,1,True,True,False,True,False,False,False,True
34,10.1016_j.sse.2022.108584,10.1016_j.sse.2022.108584-5b-S1-P008,quota_per_paper,condition_axis|model,series_member_experiment,model,single,True,10.1016_j.sse.2022.108584-5b-S1,5,7,b,parameter: theta_sat,deposition_temperature,pulse_time,1,True,True,False,True,False,False,False,True
35,10.1016_j.sse.2022.108584,10.1016_j.sse.2022.108584-F5a-12,proportional,unresolved_experiment_record|model,unresolved_experiment_record,model,unresolved,True,,5,7,a,parameter: beta_0,1/T,ln(beta_0),8,True,False,False,False,False,False,False,True
36,10.1016_j.sse.2022.108584,10.1016_j.sse.2022.108584-F7a-25,quota_per_paper,coordinate_axis|model,profile_experiment,model,profile,True,,7,9,a,"initial opening d: Bosanquet, d = 2.0 µm",spatial_coordinate,film_thickness,13,True,False,False,False,False,False,False,True
37,10.1016_j.tsf.2012.11.127,10.1016_j.tsf.2012.11.127-2a-S0-P001,quota_per_paper,condition_axis|experimental,series_member_experiment,experimental,single,False,10.1016_j.tsf.2012.11.127-2a-S0,2,1,a,series: Thickness,cycle_number,film_thickness,1,False,True,False,True,False,False,True,False
38,10.1016_j.tsf.2012.11.127,10.1016_j.tsf.2012.11.127-F4a-5,proportional,correlation_record|experimental,correlation_record,experimental,correlation,False,,4,3,a,Fe content: Fe:Zr 1:200,wavelength,Psi,24,False,False,False,True,False,False,False,False
39,10.1016_j.tsf.2012.11.127,10.1016_j.tsf.2012.11.127-F5b-20,quota_per_paper,unresolved_experiment_record|experimental,unresolved_experiment_record,experimental,unresolved,False,,5,4,b,condition: t-ZrO2,2θ,intensity,29,False,False,False,True,False,False,False,False
40,10.1021_acs.chemmater.2c01154,10.1021_acs.chemmater.2c01154-7a-S1-P003,proportional,condition_axis|experimental,series_member_experiment,experimental,single,False,10.1021_acs.chemmater.2c01154-7a-S1,7,16,a,H2 flow ratio: 0.20,cycle_number,film_thickness,1,True,True,True,True,False,False,True,False
41,10.1021_acs.chemmater.2c01154,10.1021_acs.chemmater.2c01154-7a-S1-P011,proportional,condition_axis|experimental,series_member_experiment,experimental,single,False,10.1021_acs.chemmater.2c01154-7a-S1,7,16,a,H2 flow ratio: 0.20,cycle_number,film_thickness,1,True,True,True,True,False,False,True,False
42,10.1021_acs.chemmater.2c01154,10.1021_acs.chemmater.2c01154-7a-S4-P001,proportional,condition_axis|experimental,series_member_experiment,experimental,single,False,10.1021_acs.chemmater.2c01154-7a-S4,7,16,a,H2 flow ratio: 0.80,cycle_number,film_thickness,1,True,True,True,True,False,False,True,False
43,10.1021_acs.chemmater.2c01154,10.1021_acs.chemmater.2c01154-8a-S15-P001,proportional,condition_axis|experimental,series_member_experiment,experimental,single,False,10.1021_acs.chemmater.2c01154-8a-S15,8,17,a,H2 flow ratio: 0.65,deposition_temperature,resistivity,1,True,True,True,True,False,False,False,False
44,10.1021_acs.chemmater.2c01154,10.1021_acs.chemmater.2c01154-8a-S16-P002,quota_per_paper,condition_axis|experimental,series_member_experiment,experimental,single,False,10.1021_acs.chemmater.2c01154-8a-S16,8,17,a,H2 flow ratio: 0.80,deposition_temperature,resistivity,1,True,True,True,True,False,False,False,False
