record_id,paper_id,printed_figure_number,panel,series_label,document_section,source_pdf_page,evidence_span,run_structure,why,sample_or_run_id,classification_method,verdict,entity_kind,underlying_case_key,sample_index,sampling_stratum,current_record_kind
10.1002_admi.202000318-1d-S3-P003,10.1002_admi.202000318,1,d,,figure 1 caption + body mentions in document.md,,as a function of ozone exposure with a saturating exposure of TBF,separate_depositions,dose/purge sweep: one deposition per setting,,caption_inferred,yes,experimental_case,10.1002_admi.202000318::F1::d::0,1,condition_axis|experimental,series_member_experiment
10.1002_admi.202000318-6a-S4-P023,10.1002_admi.202000318,6,a,ozone exposure time: 100s Ozone,figure 6 caption + body mentions in document.md,,,undetermined,no explicit statement of run structure in the caption or the figure's body mentions; point count alone is not evidence,,heuristic,uncertain,unknown,10.1002_admi.202000318::F6::a::100s Ozone,2,condition_axis|experimental,series_member_experiment
10.1002_admi.202000318-6a-S5-P000,10.1002_admi.202000318,6,a,ozone exposure time: 60s Ozone,figure 6 caption + body mentions in document.md,,,undetermined,no explicit statement of run structure in the caption or the figure's body mentions; point count alone is not evidence,,heuristic,uncertain,unknown,10.1002_admi.202000318::F6::a::60s Ozone,3,condition_axis|experimental,series_member_experiment
10.1002_admi.202000318-6a-S6-P010,10.1002_admi.202000318,6,a,ozone exposure time: 20s Ozone,figure 6 caption + body mentions in document.md,,,undetermined,no explicit statement of run structure in the caption or the figure's body mentions; point count alone is not evidence,,heuristic,uncertain,unknown,10.1002_admi.202000318::F6::a::20s Ozone,4,condition_axis|experimental,series_member_experiment
10.1002_admi.202000318-F2a-5,10.1002_admi.202000318,2,a,ozone exposure time: 60s Ozone,figure 2 caption + body mentions in document.md,,,output_vs_output,both axes are measured outputs; not a swept input,,metadata_inferred,no,derived_representation,10.1002_admi.202000318::F2::a::60s Ozone,5,correlation_record|experimental,correlation_record
10.1002_celc.201600139-1b-S0-P002,10.1002_celc.201600139,1,b,precursor: LTB:H2S,figure 1 caption + body mentions in document.md,,in situ QCM measurements of Li x Al y S ALD performed at 150 8 C using (LTB-H2S)/(TDMAA,one_continuous_run,caption states the data are in-situ monitoring of a single run,,caption_inferred,no,measurement,10.1002_celc.201600139::F1::b::H2S,6,condition_axis|experimental,series_member_experiment
10.1002_celc.201600139-1b-S0-P018,10.1002_celc.201600139,1,b,precursor: LTB:H2S,figure 1 caption + body mentions in document.md,,in situ QCM measurements of Li x Al y S ALD performed at 150 8 C using (LTB-H2S)/(TDMAA,one_continuous_run,caption states the data are in-situ monitoring of a single run,,caption_inferred,no,measurement,10.1002_celc.201600139::F1::b::H2S,7,condition_axis|experimental,series_member_experiment
10.1002_celc.201600139-1b-S1-P022,10.1002_celc.201600139,1,b,precursor: TDMAAl:H2S,figure 1 caption + body mentions in document.md,,in situ QCM measurements of Li x Al y S ALD performed at 150 8 C using (LTB-H2S)/(TDMAA,one_continuous_run,caption states the data are in-situ monitoring of a single run,,caption_inferred,no,measurement,10.1002_celc.201600139::F1::b::H2S,8,condition_axis|experimental,series_member_experiment
10.1002_celc.201600139-1b-S1-P030,10.1002_celc.201600139,1,b,precursor: TDMAAl:H2S,figure 1 caption + body mentions in document.md,,in situ QCM measurements of Li x Al y S ALD performed at 150 8 C using (LTB-H2S)/(TDMAA,one_continuous_run,caption states the data are in-situ monitoring of a single run,,caption_inferred,no,measurement,10.1002_celc.201600139::F1::b::H2S,9,condition_axis|experimental,series_member_experiment
10.1002_celc.201600139-3d-S7-P000,10.1002_celc.201600139,3,d,electrode: Li_xAl_yS coated Cu,figure 3 caption + body mentions in document.md,,impedance spectra of Li/electrolyte/Li symmetric cells using both pri,one_continuous_run,electrochemical trace of a single cell,,caption_inferred,no,measurement,10.1002_celc.201600139::F3::d::Li_xAl_yS coated Cu,10,condition_axis|experimental,series_member_experiment
10.1002_celc.201600139-4a-S8-P005,10.1002_celc.201600139,4,a,substrate: Pristine Cu,figure 4 caption + body mentions in document.md,,,undetermined,no explicit statement of run structure in the caption or the figure's body mentions; point count alone is not evidence,,heuristic,uncertain,unknown,10.1002_celc.201600139::F4::a::Pristine Cu,11,condition_axis|experimental,series_member_experiment
10.1002_celc.201600139-4a-S9-P002,10.1002_celc.201600139,4,a,substrate: Li_xAl_yS coated Cu,figure 4 caption + body mentions in document.md,,,undetermined,no explicit statement of run structure in the caption or the figure's body mentions; point count alone is not evidence,,heuristic,uncertain,unknown,10.1002_celc.201600139::F4::a::Li_xAl_yS coated Cu,12,condition_axis|experimental,series_member_experiment
10.1002_cnma.201700148-paper-0,10.1002_cnma.201700148,,,,figure None caption + body mentions in document.md,,,not_a_measured_curve,paper-level fallback record created when no figure data existed,,metadata_inferred,no,derived_representation,10.1002_cnma.201700148::FNone::-::0,13,paper_level_record|experimental,paper_level_record
10.1002_pssa.201532305-10a-S12-P028,10.1002_pssa.201532305,10,a,,figure 10 caption + body mentions in document.md,,In-situ monitoring of HWALD growth in the linear regime by SE; the inset shows stepwise,one_continuous_run,caption states the data are in-situ monitoring of a single run,,caption_inferred,no,measurement,10.1002_pssa.201532305::F10::a::0,14,condition_axis|experimental,series_member_experiment
