entity_key,paper_id,fig_docling_index,printed_figure_number,panel,source_series,representation,record_node_count,n_source_points,coordinate,measurand,measurand_unit,relevance,granularity,record_node_ids,caption_pdf_page,body_pdf_page,caption_evidence,body_evidence,sample_or_run_id,table_evidence,classification,classification_confidence,classification_method,signal_families,supporting_evidence,votes,weak_signals,pressure_assertions,exposure_assertions,pressure_applicable_scope,pressure_applicable_status,pressure_applicable_value,pressure_applicable_unit,pressure_applicable_quantity,pressure_candidates,stated_setting_count,stated_setting_evidence,between_curve_condition,between_curve_value,underlying_case_id
10.1002_admi.202000318|1|1|a|<single>|primary,10.1002_admi.202000318,1,1,a,<single>,primary,7,7,pulse_time,growth_per_cycle,nm/cycle,experimental,single,10.1002_admi.202000318-1a-S0-P000;10.1002_admi.202000318-1a-S0-P001;10.1002_admi.202000318-1a-S0-P002;10.1002_admi.202000318-1a-S0-P003;10.1002_admi.202000318-1a-S0-P004;10.1002_admi.202000318-1a-S0-P005 …+1,,,"Figure 1. Growth of iron oxide flms as measured by VASE. a) The growth per cycle as a function of ozone exposure with a saturating exposure of TBF.Because the TBF exposure required to reach saturation increases with ozone exposure,at each data point in (a),the TBF exposure was increased sufficiently","variety of applications, including microelectronics, energy storage, catalysis, and photovoltaics.[1,5,8,9] Iron oxide in particular has demonstrated utility in thermal catalysis and electrocatalysis,1-16] gas sensors,[17-19] and absorbers and electrodes for

Figure 1. Growth of iron oxide flms as m",,,discrete_experimental_sweep,corroborated,multi_signal(3 families),"['F', 'M', 'Me', 'R']",M: Figure 1. Growth of iron oxide flms as measured by VASE. a) The growth per cycle as a function of ozone exposure with a saturating expo | Me: igure 1. Growth of iron oxide flms as measured by VASE. a) The growth per cycle as a function of ozone exposure with a satur | R: films were deposited with,"{""discrete_experimental_sweep"": 3, ""continuous_trace"": 1}","{""axis_role_coordinate"": false, ""n_source_points"": 7, ""granularity"": ""single""}",[],[],,,,,,,2,body: at 180 and 200°C,,,10.1002_admi.202000318::F1::a::<single>
10.1002_admi.202000318|1|1|b|<single>|primary,10.1002_admi.202000318,1,1,b,<single>,primary,20,20,exposure,growth_per_cycle,nm/cycle,experimental,single,10.1002_admi.202000318-1b-S1-P000;10.1002_admi.202000318-1b-S1-P001;10.1002_admi.202000318-1b-S1-P002;10.1002_admi.202000318-1b-S1-P003;10.1002_admi.202000318-1b-S1-P004;10.1002_admi.202000318-1b-S1-P005 …+14,,,"Figure 1. Growth of iron oxide flms as measured by VASE. a) The growth per cycle as a function of ozone exposure with a saturating exposure of TBF.Because the TBF exposure required to reach saturation increases with ozone exposure,at each data point in (a),the TBF exposure was increased sufficiently","variety of applications, including microelectronics, energy storage, catalysis, and photovoltaics.[1,5,8,9] Iron oxide in particular has demonstrated utility in thermal catalysis and electrocatalysis,1-16] gas sensors,[17-19] and absorbers and electrodes for

Figure 1. Growth of iron oxide flms as m",,,discrete_experimental_sweep,corroborated,multi_signal(3 families),"['F', 'M', 'Me', 'R']",M: Figure 1. Growth of iron oxide flms as measured by VASE. a) The growth per cycle as a function of ozone exposure with a saturating expo | Me: igure 1. Growth of iron oxide flms as measured by VASE. a) The growth per cycle as a function of ozone exposure with a satur | R: films were deposited with,"{""discrete_experimental_sweep"": 3, ""continuous_trace"": 1}","{""axis_role_coordinate"": false, ""n_source_points"": 20, ""granularity"": ""single""}",[],[],,,,,,,2,body: at 180 and 200°C,,,10.1002_admi.202000318::F1::b::<single>
10.1002_admi.202000318|1|1|c|<single>|primary,10.1002_admi.202000318,1,1,c,<single>,primary,6,6,cycle_number,film_thickness,nm,experimental,single,10.1002_admi.202000318-1c-S2-P000;10.1002_admi.202000318-1c-S2-P001;10.1002_admi.202000318-1c-S2-P002;10.1002_admi.202000318-1c-S2-P003;10.1002_admi.202000318-1c-S2-P004;10.1002_admi.202000318-1c-S2-P005,,,"Figure 1. Growth of iron oxide flms as measured by VASE. a) The growth per cycle as a function of ozone exposure with a saturating exposure of TBF.Because the TBF exposure required to reach saturation increases with ozone exposure,at each data point in (a),the TBF exposure was increased sufficiently","variety of applications, including microelectronics, energy storage, catalysis, and photovoltaics.[1,5,8,9] Iron oxide in particular has demonstrated utility in thermal catalysis and electrocatalysis,1-16] gas sensors,[17-19] and absorbers and electrodes for

Figure 1. Growth of iron oxide flms as m",,,discrete_experimental_sweep,corroborated,multi_signal(3 families),"['F', 'M', 'Me', 'R']",M: Figure 1. Growth of iron oxide flms as measured by VASE. a) The growth per cycle as a function of ozone exposure with a saturating expo | Me: igure 1. Growth of iron oxide flms as measured by VASE. a) The growth per cycle as a function of ozone exposure with a satur | R: films were deposited with,"{""discrete_experimental_sweep"": 3, ""continuous_trace"": 1}","{""axis_role_coordinate"": false, ""n_source_points"": 6, ""granularity"": ""single""}",[],[],,,,,,,2,body: at 180 and 200°C,,,10.1002_admi.202000318::F1::c::<single>
10.1002_admi.202000318|1|1|d|<single>|primary,10.1002_admi.202000318,1,1,d,<single>,primary,5,5,deposition_temperature,growth_per_cycle,nm/cycle,experimental,single,10.1002_admi.202000318-1d-S3-P000;10.1002_admi.202000318-1d-S3-P001;10.1002_admi.202000318-1d-S3-P002;10.1002_admi.202000318-1d-S3-P003;10.1002_admi.202000318-1d-S3-P004,,,"Figure 1. Growth of iron oxide flms as measured by VASE. a) The growth per cycle as a function of ozone exposure with a saturating exposure of TBF.Because the TBF exposure required to reach saturation increases with ozone exposure,at each data point in (a),the TBF exposure was increased sufficiently","variety of applications, including microelectronics, energy storage, catalysis, and photovoltaics.[1,5,8,9] Iron oxide in particular has demonstrated utility in thermal catalysis and electrocatalysis,1-16] gas sensors,[17-19] and absorbers and electrodes for

Figure 1. Growth of iron oxide flms as m",,,discrete_experimental_sweep,corroborated,multi_signal(3 families),"['F', 'M', 'Me', 'R']",M: Figure 1. Growth of iron oxide flms as measured by VASE. a) The growth per cycle as a function of ozone exposure with a saturating expo | Me: igure 1. Growth of iron oxide flms as measured by VASE. a) The growth per cycle as a function of ozone exposure with a satur | R: films were deposited with,"{""discrete_experimental_sweep"": 3, ""continuous_trace"": 1}","{""axis_role_coordinate"": false, ""n_source_points"": 5, ""granularity"": ""single""}",[],[],,,,,,,2,body: at 180 and 200°C,,,10.1002_admi.202000318::F1::d::<single>
10.1002_admi.202000318|2|2|a|10s Ozone|primary,10.1002_admi.202000318,2,2,a,10s Ozone,primary,1,4,angle,oxygen_iron_ratio,1,experimental,correlation,10.1002_admi.202000318-F2a-4,,,"Figure 2. Film compositions calculated from angle-resolved XPS measurements of Fe2O3 films grown with varying levels of ozone exposure. All samples were grown with 20-50 torr-s of TBF exposure except for the x10 TBF flm which was grown using 400 torr-s TBF exposure.Film thicknesses are 160, 135, 215", that the process deposits more than one full monolayer of Fe2O3 per ALD cycle. Angle-resolved XPS (AR-XPS) measurements were also performed on samples with different ozone exposures. Analysis of the relative oxygen concentration from the AR-XPS measurements (Figure 2) reveals an interesting observa,samples were grown with 20,,discrete_experimental_sweep,corroborated,multi_signal(3 families),"['F', 'I', 'M', 'Me', 'X']",Me: igure 1. Growth of iron oxide flms as measured by VASE. a) The growth per cycle as a function of ozone exposure with a satur | I: samples were grown with 20 | X: series_axis 'ozone exposure time' with numeric label '10s Ozone',"{""multi_output_measurement"": 2, ""discrete_experimental_sweep"": 3}","{""axis_role_coordinate"": false, ""n_source_points"": 4, ""granularity"": ""correlation""}",[],[],,,,,,,2,caption: with 20-50 torr,ozone exposure time,10s Ozone,10.1002_admi.202000318::F2::a::10s Ozone
10.1002_admi.202000318|2|2|a|60s Ozone|primary,10.1002_admi.202000318,2,2,a,60s Ozone,primary,1,4,angle,oxygen_iron_ratio,1,experimental,correlation,10.1002_admi.202000318-F2a-5,,,"Figure 2. Film compositions calculated from angle-resolved XPS measurements of Fe2O3 films grown with varying levels of ozone exposure. All samples were grown with 20-50 torr-s of TBF exposure except for the x10 TBF flm which was grown using 400 torr-s TBF exposure.Film thicknesses are 160, 135, 215", that the process deposits more than one full monolayer of Fe2O3 per ALD cycle. Angle-resolved XPS (AR-XPS) measurements were also performed on samples with different ozone exposures. Analysis of the relative oxygen concentration from the AR-XPS measurements (Figure 2) reveals an interesting observa,samples were grown with 20,,discrete_experimental_sweep,corroborated,multi_signal(3 families),"['F', 'I', 'M', 'Me', 'X']",Me: igure 1. Growth of iron oxide flms as measured by VASE. a) The growth per cycle as a function of ozone exposure with a satur | I: samples were grown with 20 | X: series_axis 'ozone exposure time' with numeric label '60s Ozone',"{""multi_output_measurement"": 2, ""discrete_experimental_sweep"": 3}","{""axis_role_coordinate"": false, ""n_source_points"": 4, ""granularity"": ""correlation""}",[],[],,,,,,,2,caption: with 20-50 torr,ozone exposure time,60s Ozone,10.1002_admi.202000318::F2::a::60s Ozone
10.1002_admi.202000318|2|2|a|100s Ozone|primary,10.1002_admi.202000318,2,2,a,100s Ozone,primary,1,4,angle,oxygen_iron_ratio,1,experimental,correlation,10.1002_admi.202000318-F2a-6,,,"Figure 2. Film compositions calculated from angle-resolved XPS measurements of Fe2O3 films grown with varying levels of ozone exposure. All samples were grown with 20-50 torr-s of TBF exposure except for the x10 TBF flm which was grown using 400 torr-s TBF exposure.Film thicknesses are 160, 135, 215", that the process deposits more than one full monolayer of Fe2O3 per ALD cycle. Angle-resolved XPS (AR-XPS) measurements were also performed on samples with different ozone exposures. Analysis of the relative oxygen concentration from the AR-XPS measurements (Figure 2) reveals an interesting observa,samples were grown with 20,,discrete_experimental_sweep,corroborated,multi_signal(3 families),"['F', 'I', 'M', 'Me', 'X']",Me: igure 1. Growth of iron oxide flms as measured by VASE. a) The growth per cycle as a function of ozone exposure with a satur | I: samples were grown with 20 | X: series_axis 'ozone exposure time' with numeric label '100s Ozone',"{""multi_output_measurement"": 2, ""discrete_experimental_sweep"": 3}","{""axis_role_coordinate"": false, ""n_source_points"": 4, ""granularity"": ""correlation""}",[],[],,,,,,,2,caption: with 20-50 torr,ozone exposure time,100s Ozone,10.1002_admi.202000318::F2::a::100s Ozone
10.1002_admi.202000318|2|2|a|120s Ozone|primary,10.1002_admi.202000318,2,2,a,120s Ozone,primary,1,4,angle,oxygen_iron_ratio,1,experimental,correlation,10.1002_admi.202000318-F2a-7,,,"Figure 2. Film compositions calculated from angle-resolved XPS measurements of Fe2O3 films grown with varying levels of ozone exposure. All samples were grown with 20-50 torr-s of TBF exposure except for the x10 TBF flm which was grown using 400 torr-s TBF exposure.Film thicknesses are 160, 135, 215", that the process deposits more than one full monolayer of Fe2O3 per ALD cycle. Angle-resolved XPS (AR-XPS) measurements were also performed on samples with different ozone exposures. Analysis of the relative oxygen concentration from the AR-XPS measurements (Figure 2) reveals an interesting observa,samples were grown with 20,,discrete_experimental_sweep,corroborated,multi_signal(3 families),"['F', 'I', 'M', 'Me', 'X']",Me: igure 1. Growth of iron oxide flms as measured by VASE. a) The growth per cycle as a function of ozone exposure with a satur | I: samples were grown with 20 | X: series_axis 'ozone exposure time' with numeric label '120s Ozone',"{""multi_output_measurement"": 2, ""discrete_experimental_sweep"": 3}","{""axis_role_coordinate"": false, ""n_source_points"": 4, ""granularity"": ""correlation""}",[],[],,,,,,,2,caption: with 20-50 torr,ozone exposure time,120s Ozone,10.1002_admi.202000318::F2::a::120s Ozone
"10.1002_admi.202000318|2|2|a|120s Ozone, x10 TBF|primary",10.1002_admi.202000318,2,2,a,"120s Ozone, x10 TBF",primary,1,4,angle,oxygen_iron_ratio,1,experimental,correlation,10.1002_admi.202000318-F2a-8,,,"Figure 2. Film compositions calculated from angle-resolved XPS measurements of Fe2O3 films grown with varying levels of ozone exposure. All samples were grown with 20-50 torr-s of TBF exposure except for the x10 TBF flm which was grown using 400 torr-s TBF exposure.Film thicknesses are 160, 135, 215", that the process deposits more than one full monolayer of Fe2O3 per ALD cycle. Angle-resolved XPS (AR-XPS) measurements were also performed on samples with different ozone exposures. Analysis of the relative oxygen concentration from the AR-XPS measurements (Figure 2) reveals an interesting observa,samples were grown with 20,,discrete_experimental_sweep,corroborated,multi_signal(3 families),"['F', 'I', 'M', 'Me', 'X']","Me: igure 1. Growth of iron oxide flms as measured by VASE. a) The growth per cycle as a function of ozone exposure with a satur | I: samples were grown with 20 | X: series_axis 'ozone exposure time' with numeric label '120s Ozone, x10 TBF'","{""multi_output_measurement"": 2, ""discrete_experimental_sweep"": 3}","{""axis_role_coordinate"": false, ""n_source_points"": 4, ""granularity"": ""correlation""}",[],[],,,,,,,2,caption: with 20-50 torr,ozone exposure time,"120s Ozone, x10 TBF","10.1002_admi.202000318::F2::a::120s Ozone, x10 TBF"
10.1002_admi.202000318|4|4|a|Reflectivity|primary,10.1002_admi.202000318,4,4,a,Reflectivity,primary,1,34,2θ,intensity,cps,experimental,unresolved,10.1002_admi.202000318-F4a-9,,,"Figure 4. a) XRR measurement of a 24.0 nm thick Fe2O3 flm,shown in orange. Calculated intensity shown in red is generated from a bilayer model reflecting a gradient of density within the flm,in which the surface region of the film is less dense than the bulk. The blue curve is generatedfromasimplerm","e film models were tested in order to find the best fit to the measured XRR intensity. It was found that modeling the film with a constant, uniform density was not sufficient to fit both the critical angle and the overall decrease of intensity with angle (see Figure 4a). In contrast, modeling the fi",sample edge effects from the analysis,,discrete_experimental_sweep,corroborated,multi_signal(3 families),"['F', 'I', 'M', 'Me', 'X']","M: Figure 4. a) XRR measurement of a 24.0 nm thick Fe2O3 flm,shown in orange. Calculated intensity | Me: igure 1. Growth of iron oxide flms as measured by VASE. a) The growth per cycle as a function of ozone exposure with a satur | I: sample edge effects from the analysis","{""discrete_experimental_sweep"": 3, ""multi_output_measurement"": 2}","{""axis_role_coordinate"": false, ""n_source_points"": 34, ""granularity"": ""unresolved""}",[],[],,,,,,,,,model type,Reflectivity,10.1002_admi.202000318::F4::a::Reflectivity
