paper_id,audit_status,record_nodes_now,unique_source_entities,node_to_entity_ratio,corrected_case_count_low,corrected_case_count_high,entities_with_unbounded_sweep_size,experimental_case_count_low,experimental_case_count_high,non_experimental_entities,entities_unresolved,pressure_resolved_entities,pressure_entities_with_no_applicable_assertion
10.1002_admi.202000318,complete,132,17,7.8,17,,5,14,,3,0,0,17
10.1002_celc.201600139,complete,189,17,11.1,17,,2,17,,0,0,17,0
10.1002_pssa.201532305,complete,300,28,10.7,28,,5,27,,1,1,25,1
10.1007_s11671-010-9676-0,complete,1,1,1.0,1,,1,0,0,1,1,1,0
10.1007_s12274-010-0066-9,complete,1,1,1.0,1,,1,0,0,1,1,0,1
10.1016_j.mee.2018.01.027,complete,2,2,1.0,2,,2,0,0,2,2,0,2
10.1016_j.mee.2018.01.033,complete,1,1,1.0,1,,1,0,0,1,1,0,1
10.1016_j.sse.2022.108584,complete,74,26,2.8,26,26,0,0,0,26,0,0,26
10.1021_acs.chemmater.2c01154,complete,190,56,3.4,56,,48,56,,0,0,0,56
10.1021_acs.chemmater.2c02292,complete,155,44,3.5,44,,27,30,,14,12,44,0
10.1021_acs.jpcc.9b08176,complete,136,11,12.4,11,,2,0,0,11,2,0,11
10.1039_c5tc03561a,complete,25,14,1.8,14,,14,14,,0,0,14,0
10.1039_c6dt03571j,complete,44,26,1.7,26,,16,10,14,16,16,0,26
10.1039_c7ra07722j,complete,240,30,8.0,30,,21,28,,2,0,0,0
10.1039_d0cp03358h,complete,74,74,1.0,74,74,0,42,42,32,0,0,44
10.1039_d3dt01824e,complete,54,30,1.8,30,,15,15,21,15,15,0,30
10.1039_d3ra05217f,complete,218,36,6.1,36,,36,10,,26,26,8,0
10.1063_1.4867469,complete,6,6,1.0,6,,5,1,1,5,5,0,6
10.1063_1.5028178,complete,74,19,3.9,19,19,0,4,4,15,0,7,0
10.1116_1.4938104,complete,78,12,6.5,12,,8,4,8,8,8,0,12
10.1116_6.0002154,complete,75,26,2.9,26,,4,24,,2,1,26,0
10.1116_6.0002804,complete,121,22,5.5,22,,16,20,,2,2,0,0
10.1186_s11671-015-0872-9,complete,1,1,1.0,1,,1,1,,0,0,0,0
10.3762_bjnano.5.25,complete,39,39,1.0,39,39,0,5,5,34,0,0,39
