case_type,ref,detail
granularity.mixed_roles,10.1002_admi.202000318::F2::a::0,"both axes are ontology outputs — this is a correlation, not a sweep"
granularity.mixed_roles,10.1002_admi.202000318::F2::a::1,"both axes are ontology outputs — this is a correlation, not a sweep"
granularity.mixed_roles,10.1002_admi.202000318::F2::a::2,"both axes are ontology outputs — this is a correlation, not a sweep"
granularity.mixed_roles,10.1002_admi.202000318::F2::a::3,"both axes are ontology outputs — this is a correlation, not a sweep"
granularity.mixed_roles,10.1002_admi.202000318::F2::a::4,"both axes are ontology outputs — this is a correlation, not a sweep"
granularity.profile_split,10.1021_acs.jpcc.9b08176::F1::b::0,spatial profile was stored as independent single experiments
granularity.profile_split,10.1021_acs.jpcc.9b08176::F1::b::1,spatial profile was stored as independent single experiments
granularity.profile_split,10.1021_acs.jpcc.9b08176::F1::b::2,spatial profile was stored as independent single experiments
granularity.profile_split,10.1021_acs.jpcc.9b08176::F1::b::3,spatial profile was stored as independent single experiments
granularity.profile_split,10.1021_acs.jpcc.9b08176::F1::c::0,spatial profile was stored as independent single experiments
granularity.profile_split,10.1021_acs.jpcc.9b08176::F1::c::1,spatial profile was stored as independent single experiments
granularity.profile_split,10.1021_acs.jpcc.9b08176::F1::c::2,spatial profile was stored as independent single experiments
granularity.profile_split,10.1021_acs.jpcc.9b08176::F1::c::3,spatial profile was stored as independent single experiments
granularity.profile_split,10.1021_acs.jpcc.9b08176::F1::c::4,spatial profile was stored as independent single experiments
granularity.mixed_roles,10.1039_c5tc03561a::F8::a::0,"both axes are ontology outputs — this is a correlation, not a sweep"
granularity.mixed_roles,10.1039_d3ra05217f::F8::b::0,"both axes are ontology outputs — this is a correlation, not a sweep"
granularity.mixed_roles,10.1116_6.0002804::F7::a::0,"both axes are ontology outputs — this is a correlation, not a sweep"
granularity.mixed_roles,10.3762_bjnano.14.89::F9::a::0,"both axes are ontology outputs — this is a correlation, not a sweep"
model_point_became_experiment,10.1002_admi.202000318-F4b-12,relevance=model is_model=True kind=profile_experiment
model_point_became_experiment,10.1016_j.sse.2022.108584-F2a-0,relevance=model is_model=True kind=unresolved_experiment_record
model_point_became_experiment,10.1016_j.sse.2022.108584-F2a-1,relevance=model is_model=True kind=unresolved_experiment_record
model_point_became_experiment,10.1016_j.sse.2022.108584-F2a-2,relevance=model is_model=True kind=unresolved_experiment_record
model_point_became_experiment,10.1016_j.sse.2022.108584-F2a-3,relevance=model is_model=True kind=unresolved_experiment_record
model_point_became_experiment,10.1016_j.sse.2022.108584-F2a-4,relevance=model is_model=True kind=unresolved_experiment_record
model_point_became_experiment,10.1016_j.sse.2022.108584-F2a-5,relevance=model is_model=True kind=unresolved_experiment_record
model_point_became_experiment,10.1016_j.sse.2022.108584-F4a-6,relevance=model is_model=True kind=profile_experiment
model_point_became_experiment,10.1016_j.sse.2022.108584-F4a-7,relevance=model is_model=True kind=profile_experiment
model_point_became_experiment,10.1016_j.sse.2022.108584-F4a-8,relevance=model is_model=True kind=profile_experiment
model_point_became_experiment,10.1016_j.sse.2022.108584-F4a-9,relevance=model is_model=True kind=profile_experiment
model_point_became_experiment,10.1016_j.sse.2022.108584-F4a-10,relevance=model is_model=True kind=profile_experiment
model_point_became_experiment,10.1016_j.sse.2022.108584-F4a-11,relevance=model is_model=True kind=profile_experiment
model_point_became_experiment,10.1016_j.sse.2022.108584-F5a-12,relevance=model is_model=True kind=unresolved_experiment_record
model_point_became_experiment,10.1016_j.sse.2022.108584-F5a-13,relevance=model is_model=True kind=unresolved_experiment_record
model_point_became_experiment,10.1016_j.sse.2022.108584-5b-S0-P000,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1016_j.sse.2022.108584-5b-S0-P001,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1016_j.sse.2022.108584-5b-S0-P002,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1016_j.sse.2022.108584-5b-S0-P003,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1016_j.sse.2022.108584-5b-S0-P004,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1016_j.sse.2022.108584-5b-S0-P005,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1016_j.sse.2022.108584-5b-S0-P006,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1016_j.sse.2022.108584-5b-S0-P007,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1016_j.sse.2022.108584-5b-S0-P008,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1016_j.sse.2022.108584-5b-S0-P009,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1016_j.sse.2022.108584-5b-S0-P010,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1016_j.sse.2022.108584-5b-S0-P011,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1016_j.sse.2022.108584-5b-S0-P012,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1016_j.sse.2022.108584-5b-S0-P013,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1016_j.sse.2022.108584-5b-S0-P014,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1016_j.sse.2022.108584-5b-S0-P015,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1016_j.sse.2022.108584-5b-S0-P016,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1016_j.sse.2022.108584-5b-S1-P000,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1016_j.sse.2022.108584-5b-S1-P001,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1016_j.sse.2022.108584-5b-S1-P002,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1016_j.sse.2022.108584-5b-S1-P003,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1016_j.sse.2022.108584-5b-S1-P004,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1016_j.sse.2022.108584-5b-S1-P005,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1016_j.sse.2022.108584-5b-S1-P006,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1016_j.sse.2022.108584-5b-S1-P007,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1016_j.sse.2022.108584-5b-S1-P008,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1016_j.sse.2022.108584-5b-S1-P009,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1016_j.sse.2022.108584-5b-S1-P010,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1016_j.sse.2022.108584-5b-S1-P011,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1016_j.sse.2022.108584-5b-S1-P012,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1016_j.sse.2022.108584-5b-S1-P013,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1016_j.sse.2022.108584-5b-S1-P014,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1016_j.sse.2022.108584-5b-S1-P015,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1016_j.sse.2022.108584-5b-S1-P016,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1016_j.sse.2022.108584-5b-S2-P000,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1016_j.sse.2022.108584-5b-S2-P001,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1016_j.sse.2022.108584-5b-S2-P002,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1016_j.sse.2022.108584-5b-S2-P003,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1016_j.sse.2022.108584-5b-S2-P004,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1016_j.sse.2022.108584-5b-S2-P005,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1016_j.sse.2022.108584-5b-S2-P006,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1016_j.sse.2022.108584-5b-S2-P007,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1016_j.sse.2022.108584-5b-S2-P008,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1016_j.sse.2022.108584-5b-S2-P009,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1016_j.sse.2022.108584-5b-S2-P010,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1016_j.sse.2022.108584-5b-S2-P011,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1016_j.sse.2022.108584-5b-S2-P012,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1016_j.sse.2022.108584-5b-S2-P013,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1016_j.sse.2022.108584-5b-S2-P014,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1016_j.sse.2022.108584-5b-S2-P015,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1016_j.sse.2022.108584-5b-S2-P016,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1016_j.sse.2022.108584-F6a-17,relevance=model is_model=True kind=profile_experiment
model_point_became_experiment,10.1016_j.sse.2022.108584-F6a-18,relevance=model is_model=True kind=profile_experiment
model_point_became_experiment,10.1016_j.sse.2022.108584-F6a-19,relevance=model is_model=True kind=profile_experiment
model_point_became_experiment,10.1016_j.sse.2022.108584-F6a-20,relevance=model is_model=True kind=profile_experiment
model_point_became_experiment,10.1016_j.sse.2022.108584-F7a-21,relevance=model is_model=True kind=profile_experiment
model_point_became_experiment,10.1016_j.sse.2022.108584-F7a-22,relevance=model is_model=True kind=profile_experiment
model_point_became_experiment,10.1016_j.sse.2022.108584-F7a-23,relevance=model is_model=True kind=profile_experiment
model_point_became_experiment,10.1016_j.sse.2022.108584-F7a-24,relevance=model is_model=True kind=profile_experiment
model_point_became_experiment,10.1016_j.sse.2022.108584-F7a-25,relevance=model is_model=True kind=profile_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1b-S0-P000,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1b-S0-P001,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1b-S0-P002,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1b-S0-P003,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1b-S0-P004,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1b-S0-P005,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1b-S0-P006,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1b-S0-P007,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1b-S0-P008,relevance=model is_model=True kind=series_member_experiment
