underlying_case_key,paper_id,printed_figure_number,panel,series_label,n_sampled_records_from_this_case,verdict,entity_kind,run_structure,classification_method,evidence_span,sample_or_run_id
10.1002_admi.202000318::F1::d::0,10.1002_admi.202000318,1,d,,1,yes,experimental_case,separate_depositions,caption_inferred,as a function of ozone exposure with a saturating exposure of TBF,
10.1002_admi.202000318::F2::a::60s Ozone,10.1002_admi.202000318,2,a,ozone exposure time: 60s Ozone,1,no,derived_representation,output_vs_output,metadata_inferred,,
10.1002_admi.202000318::F6::a::100s Ozone,10.1002_admi.202000318,6,a,ozone exposure time: 100s Ozone,1,uncertain,unknown,undetermined,heuristic,,
10.1002_admi.202000318::F6::a::20s Ozone,10.1002_admi.202000318,6,a,ozone exposure time: 20s Ozone,1,uncertain,unknown,undetermined,heuristic,,
10.1002_admi.202000318::F6::a::60s Ozone,10.1002_admi.202000318,6,a,ozone exposure time: 60s Ozone,1,uncertain,unknown,undetermined,heuristic,,
10.1002_celc.201600139::F1::b::H2S,10.1002_celc.201600139,1,b,precursor: LTB:H2S,4,no,measurement,one_continuous_run,caption_inferred,in situ QCM measurements of Li x Al y S ALD performed at 150 8 C using (LTB-H2S)/(TDMAA,
10.1002_celc.201600139::F3::d::Li_xAl_yS coated Cu,10.1002_celc.201600139,3,d,electrode: Li_xAl_yS coated Cu,1,no,measurement,one_continuous_run,caption_inferred,impedance spectra of Li/electrolyte/Li symmetric cells using both pri,
10.1002_celc.201600139::F4::a::Li_xAl_yS coated Cu,10.1002_celc.201600139,4,a,substrate: Li_xAl_yS coated Cu,1,uncertain,unknown,undetermined,heuristic,,
10.1002_celc.201600139::F4::a::Pristine Cu,10.1002_celc.201600139,4,a,substrate: Pristine Cu,1,uncertain,unknown,undetermined,heuristic,,
10.1002_cnma.201700148::FNone::-::0,10.1002_cnma.201700148,,,,1,no,derived_representation,not_a_measured_curve,metadata_inferred,,
10.1002_pssa.201532305::F10::a::0,10.1002_pssa.201532305,10,a,,3,no,measurement,one_continuous_run,caption_inferred,In-situ monitoring of HWALD growth in the linear regime by SE; the inset shows stepwise,
10.1002_pssa.201532305::F4::a::1800 °C,10.1002_pssa.201532305,4,a,hot-wire temperature: 1800 °C,1,no,measurement,one_continuous_run,caption_inferred,in-situ SE) versus different deposition parameters,
10.1002_pssa.201532305::F4::a::1910 °C,10.1002_pssa.201532305,4,a,hot-wire temperature: 1910 °C,1,no,measurement,one_continuous_run,caption_inferred,in-situ SE) versus different deposition parameters,
10.1002_pssa.201532305::F4::b::H2 100 sccm,10.1002_pssa.201532305,4,b,H2 flow rate: H2 100 sccm,1,no,measurement,one_continuous_run,caption_inferred,in-situ SE) versus different deposition parameters,
10.1002_pssa.201532305::F4::b::H2 50 sccm,10.1002_pssa.201532305,4,b,H2 flow rate: H2 50 sccm,1,no,measurement,one_continuous_run,caption_inferred,in-situ SE) versus different deposition parameters,
10.1002_pssa.201532305::F4::c::WF6 10 sccm,10.1002_pssa.201532305,4,c,WF6 flow rate: WF6 10 sccm,1,no,measurement,one_continuous_run,caption_inferred,in-situ SE) versus different deposition parameters,
10.1002_pssa.201532305::F4::d::Ar 10 sccm,10.1002_pssa.201532305,4,d,Ar flow rate: Ar 10 sccm,1,no,measurement,one_continuous_run,caption_inferred,in-situ SE) versus different deposition parameters,
10.1002_pssa.201532305::F4::d::Ar 100 sccm,10.1002_pssa.201532305,4,d,Ar flow rate: Ar 100 sccm,1,no,measurement,one_continuous_run,caption_inferred,in-situ SE) versus different deposition parameters,
10.1007_s11671-010-9676-0::FNone::-::0,10.1007_s11671-010-9676-0,,,,1,no,derived_representation,not_a_measured_curve,metadata_inferred,,
10.1007_s12274-010-0066-9::F1::f::200 ALD cycles,10.1007_s12274-010-0066-9,1,f,series: 200 ALD cycles,1,uncertain,unknown,,heuristic,,
10.1016_j.jcrysgro.2017.04.019::F6::a::Si,10.1016_j.jcrysgro.2017.04.019,6,a,substrate: Si,1,uncertain,unknown,undetermined,heuristic,,
10.1016_j.jcrysgro.2017.04.019::F6::a::SiO2,10.1016_j.jcrysgro.2017.04.019,6,a,substrate: SiO2,2,uncertain,unknown,undetermined,heuristic,,
10.1016_j.matt.2019.12.026::FNone::-::0,10.1016_j.matt.2019.12.026,,,,1,no,derived_representation,not_a_measured_curve,metadata_inferred,,
10.1016_j.mee.2018.01.027::F4::b::9th Talbot Order,10.1016_j.mee.2018.01.027,4,b,series: 9th Talbot Order,1,uncertain,unknown,,heuristic,,
10.1016_j.mee.2018.01.027::F4::c::13th Talbot Order,10.1016_j.mee.2018.01.027,4,c,series: 13th Talbot Order,1,uncertain,unknown,,heuristic,,
10.1016_j.mee.2018.01.033::FNone::-::0,10.1016_j.mee.2018.01.033,,,,1,no,derived_representation,not_a_measured_curve,metadata_inferred,,
10.1016_j.sse.2022.108584::F5::a::beta_0,10.1016_j.sse.2022.108584,5,a,parameter: beta_0,1,no,simulation_run_or_profile,model_output,metadata_inferred,,
10.1016_j.sse.2022.108584::F5::b::theta_sat,10.1016_j.sse.2022.108584,5,b,parameter: theta_sat,2,no,simulation_run_or_profile,model_output,metadata_inferred,,
"10.1016_j.sse.2022.108584::F7::a::Bosanquet, d = 2.0 µm",10.1016_j.sse.2022.108584,7,a,"initial opening d: Bosanquet, d = 2.0 µm",1,no,simulation_run_or_profile,model_output,caption_inferred,simulated structures to profiles reported by Yim and Ylivaara et al,
10.1016_j.tsf.2012.11.127::F2::a::Thickness,10.1016_j.tsf.2012.11.127,2,a,series: Thickness,1,uncertain,unknown,undetermined,heuristic,,
10.1016_j.tsf.2012.11.127::F4::a::200,10.1016_j.tsf.2012.11.127,4,a,Fe content: Fe:Zr 1:200,1,no,derived_representation,output_vs_output,metadata_inferred,,
10.1016_j.tsf.2012.11.127::F5::b::t-ZrO2,10.1016_j.tsf.2012.11.127,5,b,condition: t-ZrO2,1,uncertain,unknown,,heuristic,,
10.1021_acs.chemmater.2c01154::F1::b::50 cyc (4.8 nm),10.1021_acs.chemmater.2c01154,1,b,number of cycles: 50 cyc (4.8 nm),1,uncertain,unknown,,heuristic,,
10.1021_acs.chemmater.2c01154::F4::a::300 °C,10.1021_acs.chemmater.2c01154,4,a,deposition_temperature: 300 °C,1,uncertain,unknown,,heuristic,,
10.1021_acs.chemmater.2c01154::F7::a::0.20,10.1021_acs.chemmater.2c01154,7,a,H2 flow ratio: 0.20,2,no,measurement,one_continuous_run,caption_inferred,in situ SE at 150 ° Cusing different H2 flow ratios,
10.1021_acs.chemmater.2c01154::F7::a::0.80,10.1021_acs.chemmater.2c01154,7,a,H2 flow ratio: 0.80,1,no,measurement,one_continuous_run,caption_inferred,in situ SE at 150 ° Cusing different H2 flow ratios,
10.1021_acs.chemmater.2c01154::F8::a::0.65,10.1021_acs.chemmater.2c01154,8,a,H2 flow ratio: 0.65,1,yes,experimental_case,separate_depositions,caption_inferred,as a function of deposition temperature and the H 2 flow ratio,
10.1021_acs.chemmater.2c01154::F8::a::0.80,10.1021_acs.chemmater.2c01154,8,a,H2 flow ratio: 0.80,1,yes,experimental_case,separate_depositions,caption_inferred,as a function of deposition temperature and the H 2 flow ratio,
10.1021_acs.chemmater.2c02292::F4::c::Annealed,10.1021_acs.chemmater.2c02292,4,c,sample state: Annealed,4,uncertain,unknown,undetermined,heuristic,,
10.1021_acs.chemmater.2c02292::F4::d::Fit,10.1021_acs.chemmater.2c02292,4,d,data type: Fit,1,no,derived_representation,output_vs_output,metadata_inferred,,
10.1021_acs.chemmater.2c02292::F5::b::Methanol,10.1021_acs.chemmater.2c02292,5,b,coreactant: Methanol,1,yes,experimental_case,separate_depositions,caption_inferred,Saturation curves for the RuO4 surface reaction and the alcohol surface react,
10.1021_acs.jpcc.9b08176::F1::b::r=10^-4,10.1021_acs.jpcc.9b08176,1,b,surface recombination probability: r=10^-4,1,no,simulation_run_or_profile,model_output,caption_inferred,"calculations, molecular /uniFB02 ow (Knudsen approximation) in trenches with AR =",
10.1021_acs.jpcc.9b08176::F1::c::t=10^0,10.1021_acs.jpcc.9b08176,1,c,exposure time: t=10^0,1,no,simulation_run_or_profile,model_output,caption_inferred,"calculations, molecular /uniFB02 ow (Knudsen approximation) in trenches with AR =",
10.1021_acs.jpcc.9b08176::F1::c::t=10^2,10.1021_acs.jpcc.9b08176,1,c,exposure time: t=10^2,1,no,simulation_run_or_profile,model_output,caption_inferred,"calculations, molecular /uniFB02 ow (Knudsen approximation) in trenches with AR =",
10.1021_acs.jpcc.9b08176::F1::c::t=10^4,10.1021_acs.jpcc.9b08176,1,c,exposure time: t=10^4,2,no,simulation_run_or_profile,model_output,caption_inferred,"calculations, molecular /uniFB02 ow (Knudsen approximation) in trenches with AR =",
10.1021_acs.jpcc.9b08176::F2::a::0,10.1021_acs.jpcc.9b08176,2,a,,1,uncertain,unknown,,heuristic,,
10.1039_c5tc03561a::F2::a::0,10.1039_c5tc03561a,2,a,,1,uncertain,unknown,undetermined,heuristic,,
10.1039_c5tc03561a::F3::a::0,10.1039_c5tc03561a,3,a,,1,no,measurement,one_continuous_run,caption_inferred,depth profile of BaO film obtained at 210 1 C substrate temperature and 2,
10.1039_c5tc03561a::F8::a::0,10.1039_c5tc03561a,8,a,,1,no,derived_representation,output_vs_output,metadata_inferred,,
10.1039_c6dt03571j::F5::b::0,10.1039_c6dt03571j,5,b,,1,yes,experimental_case,separate_depositions,caption_inferred,self-limiting growth,
10.1039_c6dt03571j::F6::a::300°C,10.1039_c6dt03571j,6,a,temperature: 300°C,1,uncertain,unknown,,heuristic,,
10.1039_c6dt03571j::F8::a::Sputtered,10.1039_c6dt03571j,8,a,sample condition: Sputtered,1,uncertain,unknown,,heuristic,,
10.1039_c7ra07722j::F2::-::0,10.1039_c7ra07722j,2,,,1,no,measurement,one_continuous_run,caption_inferred,in situ SE measurements while changing precursor or co-reactant dose times,
10.1039_c7ra07722j::F3::a::Plasma 200 °C,10.1039_c7ra07722j,3,a,process and temperature: Plasma 200 °C,1,no,measurement,one_continuous_run,caption_inferred,"In situ thickness measurements by SE for plasma-assisted ALDof Li2CO3 at 50, 200, 275 a",
"10.1039_c7ra07722j::F3::b::SE, thermal",10.1039_c7ra07722j,3,b,"measurement method and process: SE, thermal",1,no,measurement,one_continuous_run,caption_inferred,"In situ thickness measurements by SE for plasma-assisted ALDof Li2CO3 at 50, 200, 275 a",
10.1039_c7ra07722j::F5::a::3 s plasma,10.1039_c7ra07722j,5,a,plasma exposure time: 3 s plasma,3,no,measurement,one_continuous_run,caption_inferred,In situ SE thickness measurement for plasma-assisted ALD of Li2CO3 at 300 /C14 C using,
