assertion_uid,source_text_kind,c1_value_unit,c1_detail,evidence_span_relocated,c2_quantity,c2_detail,c3_applicability,c3_detail,c4_scope,c4_detail,c5_status,c5_detail,c6_species,c6_detail,c7_duplication,c7_detail,under_attributed,verdict,error_criteria,paper_id,entity_id,classification,printed_figure_number,panel,source_series,quantity,value,unit,species,assertion_status,source_kind,bound_at_scope,family,raw_evidence,evidence_locator
10.1002_admi.202000318::10.1002_admi.202000318__Fig1a::1,figure body,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1002_admi.202000318,10.1002_admi.202000318__Fig1a,discrete_experimental_sweep,1,a,<single>,pulse_time,80,s,O3,direct,body,figure,pulse,exposures greater than 80 s,document.md near Fig 1
10.1002_admi.202000318::10.1002_admi.202000318__Fig1c::1,figure body,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1002_admi.202000318,10.1002_admi.202000318__Fig1c,discrete_experimental_sweep,1,c,<single>,pulse_time,80,s,O3,direct,body,figure,pulse,exposures greater than 80 s,document.md near Fig 1
10.1002_admi.202000318::10.1002_admi.202000318__Fig2a__exp02::0,series label,pass,,False,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1002_admi.202000318,10.1002_admi.202000318__Fig2a__exp02,multi_output_measurement,2,a,60s Ozone,exposure,60,s,O3,direct,series_label,series,exposure,60s,series label '60s Ozone' (axis 'ozone exposure time')
10.1002_admi.202000318::10.1002_admi.202000318__Fig4a__exp03::3,methods section,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1002_admi.202000318,10.1002_admi.202000318__Fig4a__exp03,model_sweep,4,a,Bilayer Model,purge_time,30,s,,direct,methods,method,purge,purge times of 30 s,methods section
10.1002_admi.202000318::10.1002_admi.202000318__Fig6a__exp01::0,series label,pass,,False,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1002_admi.202000318,10.1002_admi.202000318__Fig6a__exp01,discrete_experimental_sweep,6,a,100s Ozone,exposure,100,s,O3,direct,series_label,series,exposure,100s,series label '100s Ozone' (axis 'ozone exposure time')
10.1002_admi.202000318::10.1002_admi.202000318__Fig6b::0,figure body,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1002_admi.202000318,10.1002_admi.202000318__Fig6b,discrete_experimental_sweep,6,b,Fraction γ Phase,pulse_time,30,s,,direct,body,figure,pulse,exposure of 30 s,document.md near Fig 6
10.1002_admi.202000318::10.1002_admi.202000318__Fig6b::2,methods section,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1002_admi.202000318,10.1002_admi.202000318__Fig6b,discrete_experimental_sweep,6,b,Fraction γ Phase,deposition_temperature,220,°C,,direct,methods,method,temperature,substrate temperature was held at 220°C,methods section
10.1002_celc.201600139::10.1002_celc.201600139__Fig2a__exp03::1,methods section,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1002_celc.201600139,10.1002_celc.201600139__Fig2a__exp03,experimental_profile,2,a,250°C,carrier_gas_partial_pressure,1.2,Torr,,direct,methods,method,pressure,"flow rate of 252 sccm and a pressure of 1.2 Torr. The Li 2 S ALD [12] was performed by using alternating 5 s exposures to lithium tert-butoxide (LTB, 98%, Strem",methods section
10.1002_pssa.201532305::10.1002_pssa.201532305__Fig10a::3,caption,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1002_pssa.201532305,10.1002_pssa.201532305__Fig10a,continuous_trace,10,a,<single>,hot_wire_temperature,1750,°C,,direct,caption,figure,temperature,hot-wire temperature of 1750 °C,figure 10 caption
10.1002_pssa.201532305::10.1002_pssa.201532305__Fig11a::4,figure body,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1002_pssa.201532305,10.1002_pssa.201532305__Fig11a,discrete_experimental_sweep,11,a,<single>,flow_rate,2,sccm,WF6,direct,body,figure,flow,2 sccm of WF6,document.md near Fig 11
10.1002_pssa.201532305::10.1002_pssa.201532305__Fig11c::5,caption panel clause,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1002_pssa.201532305,10.1002_pssa.201532305__Fig11c,discrete_experimental_sweep,11,c,<single>,flow_rate,50,sccm,Ar,direct,caption,panel,flow,50 sccm,"figure 11 caption, panel (c)"
10.1002_pssa.201532305::10.1002_pssa.201532305__Fig2a::0,methods section,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1002_pssa.201532305,10.1002_pssa.201532305__Fig2a,discrete_experimental_sweep,2,a,Hot-wire temperature,base_pressure,1e-7,mbar,,direct,methods,method,pressure,base pressure of 1e-7 mbar,methods section
10.1002_pssa.201532305::10.1002_pssa.201532305__Fig4a__exp01::1,caption preamble,pass,,True,pass,,pass,,pass,,pass,,under_attributed,"source supports ['H2'], none stored",pass,,True,correct,,10.1002_pssa.201532305,10.1002_pssa.201532305__Fig4a__exp01,continuous_trace,4,a,1800 °C,flow_rate,100,sccm,,direct,caption,figure,flow,100sccm of H2,figure 4 caption
10.1002_pssa.201532305::10.1002_pssa.201532305__Fig4a__exp01::8,caption preamble,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1002_pssa.201532305,10.1002_pssa.201532305__Fig4a__exp01,continuous_trace,4,a,1800 °C,purge_time,2,min,,direct,caption,figure,purge,2-min purge,figure 4 caption
10.1002_pssa.201532305::10.1002_pssa.201532305__Fig4a__exp02::4,caption preamble,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1002_pssa.201532305,10.1002_pssa.201532305__Fig4a__exp02,continuous_trace,4,a,1860 °C,flow_rate,10,sccm,WF6,direct,caption,figure,flow,10 sccm of WF6,figure 4 caption
10.1002_pssa.201532305::10.1002_pssa.201532305__Fig4a__exp02::7,caption preamble,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1002_pssa.201532305,10.1002_pssa.201532305__Fig4a__exp02,continuous_trace,4,a,1860 °C,pulse_time,1,min,WF6,direct,caption,figure,pulse,1-min exposure to WF6,figure 4 caption
10.1002_pssa.201532305::10.1002_pssa.201532305__Fig4b__exp01::0,series label,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1002_pssa.201532305,10.1002_pssa.201532305__Fig4b__exp01,continuous_trace,4,b,H2 10 sccm,flow_rate,10,sccm,H2,direct,series_label,series,flow,10 sccm,series label 'H2 10 sccm' (axis 'H2 flow rate')
10.1002_pssa.201532305::10.1002_pssa.201532305__Fig4b__exp02::2,caption preamble,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1002_pssa.201532305,10.1002_pssa.201532305__Fig4b__exp02,continuous_trace,4,b,H2 50 sccm,hot_wire_temperature,1860,°C,,direct,caption,figure,temperature,1860 °C of hot-wire,figure 4 caption
10.1002_pssa.201532305::10.1002_pssa.201532305__Fig4b__exp03::3,caption preamble,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1002_pssa.201532305,10.1002_pssa.201532305__Fig4b__exp03,continuous_trace,4,b,H2 100 sccm,deposition_temperature,325,°C,,direct,caption,figure,temperature,325 °C of substrate temperature,figure 4 caption
10.1002_pssa.201532305::10.1002_pssa.201532305__Fig4c__exp01::0,series label,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1002_pssa.201532305,10.1002_pssa.201532305__Fig4c__exp01,continuous_trace,4,c,WF6 10 sccm,flow_rate,10,sccm,WF6,direct,series_label,series,flow,10 sccm,series label 'WF6 10 sccm' (axis 'WF6 flow rate')
10.1002_pssa.201532305::10.1002_pssa.201532305__Fig4c__exp02::5,caption preamble,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1002_pssa.201532305,10.1002_pssa.201532305__Fig4c__exp02,continuous_trace,4,c,WF6 20 sccm,flow_rate,50,sccm,Ar,direct,caption,figure,flow,50 sccm,figure 4 caption
10.1002_pssa.201532305::10.1002_pssa.201532305__Fig4c__exp02::6,"caption (full, pressure path)",pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1002_pssa.201532305,10.1002_pssa.201532305__Fig4c__exp02,continuous_trace,4,c,WF6 20 sccm,working_pressure,0.01,mbar,,direct,caption,figure,pressure,0.01 mbar of pressure,figure 4 caption
10.1002_pssa.201532305::10.1002_pssa.201532305__Fig4d__exp02::2,caption preamble,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1002_pssa.201532305,10.1002_pssa.201532305__Fig4d__exp02,continuous_trace,4,d,Ar 100 sccm,hot_wire_temperature,1860,°C,,direct,caption,figure,temperature,1860 °C of hot-wire,figure 4 caption
10.1002_pssa.201532305::10.1002_pssa.201532305__Fig4d__exp02::9,methods section,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1002_pssa.201532305,10.1002_pssa.201532305__Fig4d__exp02,continuous_trace,4,d,Ar 100 sccm,base_pressure,1e-7,mbar,,direct,methods,method,pressure,base pressure of 1e-7 mbar,methods section
10.1002_pssa.201532305::10.1002_pssa.201532305__Fig5a__exp02::4,methods section,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1002_pssa.201532305,10.1002_pssa.201532305__Fig5a__exp02,multi_output_measurement,5,a,N1s,base_pressure,1e-7,mbar,,direct,methods,method,pressure,base pressure of 1e-7 mbar,methods section
10.1002_pssa.201532305::10.1002_pssa.201532305__Fig5a__exp06::2,caption,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1002_pssa.201532305,10.1002_pssa.201532305__Fig5a__exp06,multi_output_measurement,5,a,W4f,hot_wire_temperature,1800,°C,,direct,caption,figure,temperature,hot-wire temperature of 1800 °C,figure 5 caption
10.1002_pssa.201532305::10.1002_pssa.201532305__Fig9a::4,methods section,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1002_pssa.201532305,10.1002_pssa.201532305__Fig9a,unknown,9,a,<single>,base_pressure,1e-7,mbar,,direct,methods,method,pressure,base pressure of 1e-7 mbar,methods section
10.1016_j.sse.2022.108584::10.1016_j.sse.2022.108584__Fig2a__exp01::0,caption,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1016_j.sse.2022.108584,10.1016_j.sse.2022.108584__Fig2a__exp01,model_sweep,2,a,θ_{sat} < 0.5,feature_height,1,μm,,direct,caption,figure,geometry,d = 1μm,figure 2 caption
10.1016_j.sse.2022.108584::10.1016_j.sse.2022.108584__Fig2a__exp06::1,caption,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1016_j.sse.2022.108584,10.1016_j.sse.2022.108584__Fig2a__exp06,model_sweep,2,a,t_p < 0.1 s,feature_length,100,μm,,direct,caption,figure,geometry,L = 100μm,figure 2 caption
10.1016_j.sse.2022.108584::10.1016_j.sse.2022.108584__Fig4a__exp01::0,series label,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1016_j.sse.2022.108584,10.1016_j.sse.2022.108584__Fig4a__exp01,imported_literature_data,4,a,"Arts 2019, 310 °C",deposition_temperature,310,°C,,direct,series_label,series,temperature,310 °C,"series label 'Arts 2019, 310 °C' (axis 'temperature')"
10.1016_j.sse.2022.108584::10.1016_j.sse.2022.108584__Fig4a__exp01::3,document body,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1016_j.sse.2022.108584,10.1016_j.sse.2022.108584__Fig4a__exp01,imported_literature_data,4,a,"Arts 2019, 310 °C",growth_per_cycle,1.12,Å/cycle,,approximate,body,series,gpc,GPC of 1.12 Å,reference-scoped statement in document.md
10.1016_j.sse.2022.108584::10.1016_j.sse.2022.108584__Fig4a__exp01::5,document body,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1016_j.sse.2022.108584,10.1016_j.sse.2022.108584__Fig4a__exp01,imported_literature_data,4,a,"Arts 2019, 310 °C",feature_length,5000,μm,,direct,body,series,geometry,L = 5000μm,reference-scoped statement in document.md
10.1016_j.sse.2022.108584::10.1016_j.sse.2022.108584__Fig4a__exp03::1,document body,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1016_j.sse.2022.108584,10.1016_j.sse.2022.108584__Fig4a__exp03,imported_literature_data,4,a,"Arts 2019, 220 °C",exposure,750,mTorr*s,,estimated,body,series,exposure,750 mTorr ⋅ s,reference-scoped statement in document.md
10.1016_j.sse.2022.108584::10.1016_j.sse.2022.108584__Fig4a__exp03::3,document body,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1016_j.sse.2022.108584,10.1016_j.sse.2022.108584__Fig4a__exp03,imported_literature_data,4,a,"Arts 2019, 220 °C",growth_per_cycle,1.12,Å/cycle,,approximate,body,series,gpc,GPC of 1.12 Å,reference-scoped statement in document.md
