raw_index,printed_figure,series_label,raw_points,in_figure_data,in_records_json,record_points,entity_id,entity_class,classification,entity_observations,in_experiments_json,in_canonical_curves,in_kg_plotseries,in_kg_curve,fate,point_loss_raw_minus_entity
0,2,0.1 s,46,True,True,46,10.1063_1.5028178__Fig2a__exp01,SimulationRun,simulation,46,False,True,False,False,converted to a non-experiment entity (simulation),0
1,2,0.05 s,36,True,True,36,10.1063_1.5028178__Fig2a__exp02,SimulationRun,simulation,36,False,True,False,False,converted to a non-experiment entity (simulation),0
2,2,0.02 s,30,True,True,30,10.1063_1.5028178__Fig2a__exp03,SimulationRun,simulation,30,False,True,False,False,converted to a non-experiment entity (simulation),0
3,2,0.01 s,26,True,True,26,10.1063_1.5028178__Fig2a__exp04,SimulationRun,simulation,26,False,True,False,False,converted to a non-experiment entity (simulation),0
4,3,0.01 s,22,True,True,22,10.1063_1.5028178__Fig3a__exp01,SimulationRun,simulation,22,False,True,False,False,converted to a non-experiment entity (simulation),0
5,3,0.02 s,21,True,True,21,10.1063_1.5028178__Fig3a__exp02,SimulationRun,simulation,21,False,True,False,False,converted to a non-experiment entity (simulation),0
6,3,0.05 s,21,True,True,21,10.1063_1.5028178__Fig3a__exp03,SimulationRun,simulation,21,False,True,False,False,converted to a non-experiment entity (simulation),0
7,3,0.1 s,19,True,True,19,10.1063_1.5028178__Fig3a__exp04,SimulationRun,simulation,19,False,False,False,False,converted to a non-experiment entity (simulation),0
8,4,H= 2 µm,25,True,True,25,10.1063_1.5028178__Fig4a__exp01,SimulationRun,simulation,25,False,False,False,False,converted to a non-experiment entity (simulation),0
9,4,1 µm,16,True,True,16,10.1063_1.5028178__Fig4a__exp02,SimulationRun,simulation,16,False,False,False,False,converted to a non-experiment entity (simulation),0
10,4,0.5 µm,14,True,True,14,10.1063_1.5028178__Fig4a__exp03,SimulationRun,simulation,14,False,False,False,False,converted to a non-experiment entity (simulation),0
11,4,0.2 µm,13,True,True,13,10.1063_1.5028178__Fig4a__exp04,SimulationRun,simulation,13,False,False,False,False,converted to a non-experiment entity (simulation),0
12,5,Gordon model,25,True,True,25,10.1063_1.5028178__Fig5a__exp01,ModelSweep,model_sweep,25,False,False,False,False,converted to a non-experiment entity (model_sweep),0
13,5,Approximation,23,True,True,23,10.1063_1.5028178__Fig5a__exp02,ModelSweep,model_sweep,23,False,False,False,False,converted to a non-experiment entity (model_sweep),0
14,5,Numerical,10,True,True,10,10.1063_1.5028178__Fig5a__exp03,ModelSweep,model_sweep,10,False,False,False,False,converted to a non-experiment entity (model_sweep),0
15,6,Fitting result,27,True,True,27,10.1063_1.5028178__Fig6a__exp01,Fit,fit,27,False,False,False,False,converted to a non-experiment entity (fit),0
16,6,Measured,63,True,True,63,10.1063_1.5028178__Fig6a__exp02,ExperimentalProfile,experimental_profile,63,True,False,False,False,preserved one-to-one (ExperimentalCase),0
17,7,Fitting result,24,True,True,24,10.1063_1.5028178__Fig7a__exp01,Fit,fit,24,False,False,False,False,converted to a non-experiment entity (fit),0
18,7,Measured,35,True,True,35,10.1063_1.5028178__Fig7a__exp02,ExperimentalProfile,experimental_profile,35,True,False,False,False,preserved one-to-one (ExperimentalCase),0
