raw_index,printed_figure,fig_docling_index,panel,series_index,series_label,point_count,x_quantity,x_unit,y_quantity,y_unit,series_axis,figure_source,panel_source,scout_drill_source,scout_drill_why,caption,legend_conditions,caption_material_evidence,caption_precursor_evidence,caption_coreactant_evidence,caption_cycles_evidence,record_material,record_material_raw,record_chemistry,record_source,entity_id,entity_class,classification,classification_method,is_current_paper_experiment,entity_observations
0,2,10,a,0,0.1 s,46,spatial_coordinate,μm,Pressure p_A,Pa,pulse time,simulated,"{""_fig"": ""simulated""}",simulated,simulated development of reactant pressure distributions in time,"FIG. 2. Comparison of the development of reactant pressure distributions in time. Lines indicate the approximate model and circles the fully numerical solution of the growth equations. Parameter values used: H ¼ 0.5 l m , W ¼ 0.1 mm, p A0 ¼ 100Pa, M A ¼ 0.0749 kg/mol, d A ¼ 591pm, M B ¼ 0.028 kg/ mol, d B ¼ 374pm, p B ¼ 300Pa, q ¼ 5 /C2 10 18 m /C0 2 , T ¼ 500K, K ¼ 100Pa /C0 1 , c ¼ 0.01, and gpc","{""temperature"": ""500 K""}",,,,,Al2O3,0.1 s,"{""precursors"": [""Al(CH3)3"", ""TiCl4""], ""coreactants"": [""H2O""]}",simulated,10.1063_1.5028178-E000,SimulationRun,simulation,provenance_gate(1 families),False,46
1,2,10,a,1,0.05 s,36,spatial_coordinate,μm,Pressure p_A,Pa,pulse time,simulated,"{""_fig"": ""simulated""}",simulated,simulated development of reactant pressure distributions in time,"FIG. 2. Comparison of the development of reactant pressure distributions in time. Lines indicate the approximate model and circles the fully numerical solution of the growth equations. Parameter values used: H ¼ 0.5 l m , W ¼ 0.1 mm, p A0 ¼ 100Pa, M A ¼ 0.0749 kg/mol, d A ¼ 591pm, M B ¼ 0.028 kg/ mol, d B ¼ 374pm, p B ¼ 300Pa, q ¼ 5 /C2 10 18 m /C0 2 , T ¼ 500K, K ¼ 100Pa /C0 1 , c ¼ 0.01, and gpc","{""temperature"": ""500 K""}",,,,,Al2O3,0.05 s,"{""precursors"": [""Al(CH3)3"", ""TiCl4""], ""coreactants"": [""H2O""]}",simulated,10.1063_1.5028178-E001,SimulationRun,simulation,provenance_gate(1 families),False,36
2,2,10,a,2,0.02 s,30,spatial_coordinate,μm,Pressure p_A,Pa,pulse time,simulated,"{""_fig"": ""simulated""}",simulated,simulated development of reactant pressure distributions in time,"FIG. 2. Comparison of the development of reactant pressure distributions in time. Lines indicate the approximate model and circles the fully numerical solution of the growth equations. Parameter values used: H ¼ 0.5 l m , W ¼ 0.1 mm, p A0 ¼ 100Pa, M A ¼ 0.0749 kg/mol, d A ¼ 591pm, M B ¼ 0.028 kg/ mol, d B ¼ 374pm, p B ¼ 300Pa, q ¼ 5 /C2 10 18 m /C0 2 , T ¼ 500K, K ¼ 100Pa /C0 1 , c ¼ 0.01, and gpc","{""temperature"": ""500 K""}",,,,,Al2O3,0.02 s,"{""precursors"": [""Al(CH3)3"", ""TiCl4""], ""coreactants"": [""H2O""]}",simulated,10.1063_1.5028178-E002,SimulationRun,simulation,provenance_gate(1 families),False,30
3,2,10,a,3,0.01 s,26,spatial_coordinate,μm,Pressure p_A,Pa,pulse time,simulated,"{""_fig"": ""simulated""}",simulated,simulated development of reactant pressure distributions in time,"FIG. 2. Comparison of the development of reactant pressure distributions in time. Lines indicate the approximate model and circles the fully numerical solution of the growth equations. Parameter values used: H ¼ 0.5 l m , W ¼ 0.1 mm, p A0 ¼ 100Pa, M A ¼ 0.0749 kg/mol, d A ¼ 591pm, M B ¼ 0.028 kg/ mol, d B ¼ 374pm, p B ¼ 300Pa, q ¼ 5 /C2 10 18 m /C0 2 , T ¼ 500K, K ¼ 100Pa /C0 1 , c ¼ 0.01, and gpc","{""temperature"": ""500 K""}",,,,,Al2O3,0.01 s,"{""precursors"": [""Al(CH3)3"", ""TiCl4""], ""coreactants"": [""H2O""]}",simulated,10.1063_1.5028178-E003,SimulationRun,simulation,provenance_gate(1 families),False,26
4,3,11,a,0,0.01 s,22,spatial_coordinate,μm,surface_coverage,,pulse_time,simulated,"{""_fig"": ""simulated""}",simulated,simulated development of surface coverage with time,"FIG. 3. Development of the surface coverage with time. Circles represent the fully numerical solution of differential equations and lines the result of the approximate model. Parameter values used: H ¼ 0.5 l m , W ¼ 0.1 mm, p A0 ¼ 100Pa, M A ¼ 0.0749 kg/mol, d A ¼ 591pm, M B ¼ 0.028 kg/mol, d B ¼ 374 pm, p B ¼ 300Pa, q ¼ 5 /C2 10 18 m /C0 2 , T ¼ 500 K, K ¼ 100Pa /C0 1 , c ¼ 0.01, and gpc sat ¼ 10","{""temperature"": ""500 K""}",,,,,Al2O3,0.01 s,"{""precursors"": [""Al(CH3)3"", ""TiCl4""], ""coreactants"": [""H2O""]}",simulated,10.1063_1.5028178-E004,SimulationRun,simulation,provenance_gate(1 families),False,22
5,3,11,a,1,0.02 s,21,spatial_coordinate,μm,surface_coverage,,pulse_time,simulated,"{""_fig"": ""simulated""}",simulated,simulated development of surface coverage with time,"FIG. 3. Development of the surface coverage with time. Circles represent the fully numerical solution of differential equations and lines the result of the approximate model. Parameter values used: H ¼ 0.5 l m , W ¼ 0.1 mm, p A0 ¼ 100Pa, M A ¼ 0.0749 kg/mol, d A ¼ 591pm, M B ¼ 0.028 kg/mol, d B ¼ 374 pm, p B ¼ 300Pa, q ¼ 5 /C2 10 18 m /C0 2 , T ¼ 500 K, K ¼ 100Pa /C0 1 , c ¼ 0.01, and gpc sat ¼ 10","{""temperature"": ""500 K""}",,,,,Al2O3,0.02 s,"{""precursors"": [""Al(CH3)3"", ""TiCl4""], ""coreactants"": [""H2O""]}",simulated,10.1063_1.5028178-E005,SimulationRun,simulation,provenance_gate(1 families),False,21
6,3,11,a,2,0.05 s,21,spatial_coordinate,μm,surface_coverage,,pulse_time,simulated,"{""_fig"": ""simulated""}",simulated,simulated development of surface coverage with time,"FIG. 3. Development of the surface coverage with time. Circles represent the fully numerical solution of differential equations and lines the result of the approximate model. Parameter values used: H ¼ 0.5 l m , W ¼ 0.1 mm, p A0 ¼ 100Pa, M A ¼ 0.0749 kg/mol, d A ¼ 591pm, M B ¼ 0.028 kg/mol, d B ¼ 374 pm, p B ¼ 300Pa, q ¼ 5 /C2 10 18 m /C0 2 , T ¼ 500 K, K ¼ 100Pa /C0 1 , c ¼ 0.01, and gpc sat ¼ 10","{""temperature"": ""500 K""}",,,,,Al2O3,0.05 s,"{""precursors"": [""Al(CH3)3"", ""TiCl4""], ""coreactants"": [""H2O""]}",simulated,10.1063_1.5028178-E006,SimulationRun,simulation,provenance_gate(1 families),False,21
7,3,11,a,3,0.1 s,19,spatial_coordinate,μm,surface_coverage,,pulse_time,simulated,"{""_fig"": ""simulated""}",simulated,simulated development of surface coverage with time,"FIG. 3. Development of the surface coverage with time. Circles represent the fully numerical solution of differential equations and lines the result of the approximate model. Parameter values used: H ¼ 0.5 l m , W ¼ 0.1 mm, p A0 ¼ 100Pa, M A ¼ 0.0749 kg/mol, d A ¼ 591pm, M B ¼ 0.028 kg/mol, d B ¼ 374 pm, p B ¼ 300Pa, q ¼ 5 /C2 10 18 m /C0 2 , T ¼ 500 K, K ¼ 100Pa /C0 1 , c ¼ 0.01, and gpc sat ¼ 10","{""temperature"": ""500 K""}",,,,,Al2O3,0.1 s,"{""precursors"": [""Al(CH3)3"", ""TiCl4""], ""coreactants"": [""H2O""]}",simulated,10.1063_1.5028178-E007,SimulationRun,simulation,provenance_gate(1 families),False,19
8,4,12,a,0,H= 2 µm,25,spatial_coordinate,µm,film_thickness,nm,channel height,simulated,"{""_fig"": ""simulated""}",simulated,calculated film thickness profiles for different channel heights,"FIG. 4. Film thickness profiles after 1000 cycles calculated by the approximate model when the original channel heights are H ¼ 2, 1, 0.5, or 0.2 l m. Reactant pulse length t p ¼ 0.1 s. In the last case, the channel entrance is completely plugged up. Parameter values used: H ¼ 0.5 l m , W ¼ 0.1 mm, p A0 ¼ 100Pa, M A ¼ 0.0749 kg/mol, d A ¼ 591pm, M B ¼ 0.028 kg/mol, d B ¼ 374pm, p B ¼ 300Pa, q ¼ 5 ","{""cycle_number"": 1000, ""pulse_time"": ""0.1 s"", ""temperature"": ""500 K""}",,,,1000,Al2O3,H= 2 µm,"{""precursors"": [""Al(CH3)3"", ""TiCl4""], ""coreactants"": [""H2O""]}",simulated,10.1063_1.5028178-E008,SimulationRun,simulation,provenance_gate(1 families),False,25
9,4,12,a,1,1 µm,16,spatial_coordinate,µm,film_thickness,nm,channel height,simulated,"{""_fig"": ""simulated""}",simulated,calculated film thickness profiles for different channel heights,"FIG. 4. Film thickness profiles after 1000 cycles calculated by the approximate model when the original channel heights are H ¼ 2, 1, 0.5, or 0.2 l m. Reactant pulse length t p ¼ 0.1 s. In the last case, the channel entrance is completely plugged up. Parameter values used: H ¼ 0.5 l m , W ¼ 0.1 mm, p A0 ¼ 100Pa, M A ¼ 0.0749 kg/mol, d A ¼ 591pm, M B ¼ 0.028 kg/mol, d B ¼ 374pm, p B ¼ 300Pa, q ¼ 5 ","{""cycle_number"": 1000, ""pulse_time"": ""0.1 s"", ""temperature"": ""500 K""}",,,,1000,Al2O3,1 µm,"{""precursors"": [""Al(CH3)3"", ""TiCl4""], ""coreactants"": [""H2O""]}",simulated,10.1063_1.5028178-E009,SimulationRun,simulation,provenance_gate(1 families),False,16
