paper,raw_figures,raw_panels,raw_series,raw_point_sets,raw_points_total,source_entities,orphaned_source_series,curve_level_resolved,point_level_experiments,model_or_calculated_entities,imported_literature,unresolved_granularity,experiments_json_rows,scout_materials,record_materials_raw_stage05,resolved_materials,multi_material_paper,materials_collapsed_raw_stage05,single_material_after_repair,all_assignments_from_evidence,material_scope_levels_used,caption_materials_never_assigned
10.1002_admi.202000318,4,9,17,17,269,17,0,6,8,3,0,0,18,Fe2O3,Fe2O3,Fe2O3,False,False,False,True,figure_caption;panel_caption_clause;paper_single_material,
10.1002_celc.201600139,4,8,17,17,330,17,0,15,2,0,0,0,15,LiAlS_x,LiAlS_x,LiAlS_x,False,False,False,True,paper_single_material,
10.1002_cnma.201700148,1,0,0,0,0,1,0,0,0,0,0,1,0,BN,,BN,False,False,False,True,unset,BN
10.1002_pssa.201532305,10,14,28,28,708,28,0,23,4,0,0,1,41,W,W,W,False,False,False,True,figure_body;figure_caption;paper_single_material;series_legend,
10.1007_s11671-010-9676-0,1,0,0,0,0,1,0,0,0,0,0,1,0,Fe2O3,,Fe2O3,False,False,False,True,unset,
10.1007_s12274-010-0066-9,1,6,1,1,36,1,0,1,0,0,0,0,1,Pt;TiO2;Al2O3,Pt,Pt,True,True,True,True,figure_caption,
10.1016_j.jcrysgro.2017.04.019,1,1,3,3,30,3,0,0,0,0,0,3,0,Bi2Te3,Bi2Te3,Bi2Te3,False,False,False,True,figure_body,
10.1016_j.mee.2018.01.027,1,3,2,2,41,2,0,0,0,0,0,2,0,Ir;Al2O3,Ir,,True,True,False,True,,
10.1016_j.sse.2022.108584,5,6,26,26,555,26,0,0,0,16,10,0,0,Al2O3,Al2O3,Al2O3,False,False,False,True,figure_body;paper_single_material,
10.1016_j.tsf.2012.11.127,6,10,32,32,873,32,0,22,10,0,0,0,22,ZrO2;Fe2O3,ZrO2,ZrO2,True,True,True,True,figure_body;figure_caption;series_legend,
10.1021_acs.chemmater.2c01154,7,11,56,56,632,56,0,26,30,0,0,0,133,MoS2;TiS2;WS2,MoS2,MoS2;TiS2;WS2,True,True,False,True,figure_body;figure_caption;panel_caption_clause,TiS2
10.1021_acs.chemmater.2c02292,6,19,44,44,696,44,0,15,15,2,0,12,50,RuO2,RuO2,RuO2,False,False,False,True,figure_body;figure_caption;series_legend,
10.1021_acs.jpcc.9b08176,3,4,15,15,136,15,0,0,4,9,0,0,8,SiO2;TiO2;Al2O3;HfO2,Al2O3;HfO2;SiO2;TiO2,Al2O3;HfO2;SiO2;TiO2,True,False,False,True,series_legend,
10.1039_c5tc03561a,5,7,14,14,161,14,0,9,5,0,0,0,24,BaO;BaTiO3,BaO,BaO,True,True,True,True,figure_body;figure_caption;panel_caption_clause,
10.1039_c6dt03571j,5,13,26,26,515,26,0,13,4,0,0,9,32,ZnO,ZnO,ZnO,False,False,False,True,figure_body;figure_caption;panel_caption_clause,
10.1039_c7ra07722j,7,14,34,34,684,34,0,17,15,2,0,0,35,Li2CO3;Li2O,Li2CO3,Li2CO3,True,True,True,True,figure_caption;panel_caption_clause;series_legend,
10.1039_d0cp03358h,8,24,74,74,1487,74,0,43,0,31,0,0,43,Al2O3,Al2O3,Al2O3,False,False,False,True,figure_body;figure_caption;panel_caption_clause;paper_single_material,
10.1039_d3dt01824e,6,11,30,30,638,30,0,24,6,0,0,0,54,Er2O3,Er2O3,Er2O3,False,False,False,True,figure_caption;panel_caption_clause;series_legend,
10.1039_d3ra05217f,7,14,36,36,570,36,0,25,1,0,0,10,25,Y2O3,Y2O3,Y2O3,False,False,False,True,figure_caption;panel_caption_clause;paper_single_material;series_legend,
10.1063_1.4867469,3,3,6,6,212,6,0,4,0,0,0,2,4,BaTiO3,BaTiO3,BaTiO3,False,False,False,True,paper_single_material,
10.1063_1.5028178,6,6,19,19,496,19,0,2,0,17,0,0,2,Al2O3;TiO2,Al2O3,Al2O3;TiO2,True,True,False,True,figure_caption,TiO2
10.1116_1.4892385,2,2,6,6,176,6,0,1,0,5,0,0,1,ZrO2,ZrO2,ZrO2,False,False,False,True,figure_caption;paper_single_material,
10.1116_1.4938104,6,4,12,12,151,12,0,0,4,0,0,8,0,Al2O3;Pt;TiO2;ZnO;TiN;W,Al2O3,Al2O3;TiO2;ZnO,True,True,False,True,figure_caption;panel_caption_clause;series_legend,TiN;TiO2;W;ZnO
10.1116_6.0002154,6,11,26,26,670,26,0,5,20,1,0,0,5,Mo2N,Mo2N,Mo2N,False,False,False,True,figure_body;paper_single_material;series_legend,
10.1116_6.0002436,6,9,35,35,532,35,0,28,7,0,0,0,82,MoOx,MoOx,MoOx,False,False,False,True,figure_caption;paper_single_material,
10.1116_6.0002804,6,15,34,34,412,34,0,8,24,0,0,2,66,Mo,Mo,Mo,False,False,False,True,figure_body;figure_caption;paper_single_material;series_legend,
10.1186_s11671-015-0872-9,1,1,1,1,51,1,0,0,1,0,0,0,0,TiO2,TiO2,TiO2,False,False,False,True,figure_caption,
10.3762_bjnano.14.89,11,15,26,26,613,26,0,18,0,0,0,8,18,SnO2,SnO2,SnO2,False,False,False,True,figure_body;figure_caption;panel_caption_clause;paper_single_material;series_legend,
10.3762_bjnano.5.25,4,9,39,39,411,39,0,5,0,34,0,0,5,Al2O3;TiO2,Al2O3,TiO2,True,True,True,True,figure_caption,TiO2
