step,gpc
0,1.32394699921313e-10
1,1.115222614604837e-10
2,1.157411787076978e-10
3,1.1579611235715672e-10
4,1.1980842434155902e-10
5,1.3176662981336813e-10
6,1.2233019305834005e-10
7,1.183586316974431e-10
8,1.2680788141780635e-10
9,1.196486620083272e-10
10,1.3065696897448235e-10
11,1.2595850059780657e-10
12,1.3305691728687764e-10
13,1.2064011834600827e-10
14,1.440687798894975e-10
15,1.3062000589867322e-10
16,1.2989773284084237e-10
17,1.257857320794543e-10
18,1.2184306219766632e-10
19,1.2124573345877624e-10
20,1.261896037907493e-10
21,1.2227807456576104e-10
22,1.2945325271865867e-10
23,1.2265137297264348e-10
24,1.3219615769541934e-10
25,1.3462765968336247e-10
26,1.2420385913312754e-10
27,1.3669423745530374e-10
28,1.2770850485129115e-10
29,1.3696130137339533e-10
30,1.3254989242903986e-10
31,1.3721589039291773e-10
32,1.2364472933945968e-10
33,1.2963298715978066e-10
34,1.3998739401807217e-10
35,1.2665345228608708e-10
36,1.175287284073197e-10
37,1.1828782829508683e-10
38,1.147204161653231e-10
39,1.1741207999002074e-10
40,1.2870794795130335e-10
41,1.3993135019212176e-10
42,1.2871262075636783e-10
43,1.3384160672526874e-10
44,1.310626721246768e-10
45,1.3190861997599676e-10
46,1.3079605985231257e-10
47,1.3079761711392432e-10
48,1.3501945779978254e-10
49,1.242329412587517e-10
50,1.386668393704092e-10
51,1.3806592469983651e-10
52,1.3068917323202168e-10
53,1.3726019555645426e-10
54,1.2727982138864584e-10
55,1.2831055659370108e-10
56,1.3281712770308679e-10
57,1.3045829106064367e-10
58,1.2866978567619162e-10
59,1.2710138743204816e-10
60,1.2774958447205273e-10
61,1.3745576917876005e-10
62,1.1841326355240888e-10
63,1.3332212369448027e-10
64,1.293109421885925e-10
65,1.3544805123639356e-10
66,1.3387693931137046e-10
67,1.1219667090339224e-10
68,1.3393599484475446e-10
69,1.3203153290848152e-10
70,1.2984999339608433e-10
71,1.264476222717802e-10
72,1.3476032493384045e-10
73,1.2633726626292167e-10
74,1.4055840024295787e-10
75,1.3211102587378773e-10
76,1.4191960008570443e-10
77,1.2291084863069533e-10
78,1.164419725592076e-10
79,1.3190648198045668e-10
80,1.324703715210926e-10
81,1.2696908631023034e-10
82,1.167024460734785e-10
83,1.2328432756134633e-10
84,1.2966758737364727e-10
85,1.2429265946167786e-10
86,1.2438380993188501e-10
87,1.2367121098006868e-10
88,1.1860772854954822e-10
89,1.207584005684183e-10
90,1.1488437348836103e-10
91,1.3425160002318434e-10
92,1.2006110913914278e-10
93,1.2554589244757523e-10
94,1.1600237070818269e-10
95,1.2671895797816208e-10
96,1.1012417134357173e-10
97,1.267049729897373e-10
98,1.2053994622285283e-10
99,1.330803368546504e-10
100,1.1216079556293588e-10
101,1.200799142707037e-10
102,1.2143606944312256e-10
103,1.2619847975634347e-10
104,1.1599065824706747e-10
105,1.1863345725075518e-10
106,1.0513749878979752e-10
107,1.1250992535524788e-10
108,1.1965802966548195e-10
109,1.2309231979541526e-10
110,1.1465361523015078e-10
111,1.278553387403184e-10
112,1.2575520615101836e-10
113,1.1488476316723585e-10
114,1.0102620225299437e-10
115,1.0437091469665294e-10
116,1.0977664475961105e-10
117,1.2024574405614245e-10
118,1.1533196086363425e-10
119,1.0139579770039875e-10
120,1.1165466110753235e-10
121,1.2173197926360637e-10
122,1.1024542969869399e-10
123,1.0786201819638417e-10
124,1.2326928715407437e-10
125,1.1181251609916145e-10
126,1.0858700817379937e-10
127,1.1294207156016927e-10
128,1.1084889405554713e-10
129,1.0814673953538302e-10
130,1.1695593701475732e-10
131,1.1621557875275248e-10
132,1.1448725650581063e-10
133,1.0910690798183568e-10
134,1.1576270022116034e-10
135,1.0903627742816714e-10
136,1.1168859610255695e-10
137,1.1461986315669307e-10
138,1.1324452165078407e-10
139,1.184375914142422e-10
140,1.1103750793820628e-10
141,9.934243115910553e-11
142,1.0209021417320116e-10
143,1.155990846439698e-10
144,1.0642010311218344e-10
145,1.1023790665955796e-10
146,1.0349273464965827e-10
147,1.1346068128094852e-10
148,1.0594512948804176e-10
149,1.1588013745714021e-10
150,1.0512593628714985e-10
151,1.1404417265668737e-10
152,1.1166621668489046e-10
153,1.0415041653501863e-10
154,1.1403440332966383e-10
155,1.0327225329423531e-10
156,1.037624892781122e-10
157,1.1219666852105923e-10
158,1.0498836749720035e-10
159,1.0525557561701015e-10
160,1.0672015895546765e-10
161,1.0327303960718516e-10
162,1.1452968188938469e-10
163,1.1230295237510261e-10
164,1.0876374147843152e-10
165,1.0871551613011147e-10
166,1.1194856834633884e-10
167,1.193514074114099e-10
168,1.146526532332411e-10
169,1.0727661131421917e-10
170,1.1457894408971392e-10
171,1.0986182140105097e-10
172,1.0965185042541364e-10
173,1.2135745891155722e-10
174,1.0892198463542145e-10
175,1.0884291007675432e-10
176,1.0087458782029543e-10
177,1.0420670888518377e-10
178,1.1488511580533809e-10
179,1.0873114310229323e-10
180,1.1585728820428006e-10
181,1.0694176344376885e-10
182,1.0921290660126115e-10
183,1.17732896596116e-10
184,1.2256203603050472e-10
185,1.1794556459774919e-10
186,1.217716266112249e-10
187,1.2505560475288775e-10
188,1.215933108741542e-10
189,1.106111710083226e-10
190,1.156792597763148e-10
191,1.203277893593274e-10
192,1.1458854088373556e-10
193,1.200348039430583e-10
194,1.0845402914102064e-10
195,1.1322879413113265e-10
196,1.216295079455309e-10
197,1.0557449823648803e-10
198,1.1264197105804547e-10
199,1.1951709491109067e-10
